source_lemma,iaa_outcome,c_has_pair,a_has_pair,c_kalimat_asal,a_kalimat_asal,c_kalimat_tujuan,a_kalimat_tujuan,match_asal_strict,match_asal_normalized,match_asal_fuzzy,match_asal_fuzzy_score,match_tujuan_strict,match_tujuan_normalized,match_tujuan_fuzzy,match_tujuan_fuzzy_score,concatenation_candidate,outcome
mode,agreed_extracted_match,True,True,mengikuti mode berpakaian,meiigikot gaye bepakaian,mengikot gaye bepakaian,mengikuti mode berpakaian,False,False,False,0.216,False,False,False,0.333,False,wrong_extraction
motivasi,agreed_extracted_match,True,True,beliau yg memberikan motivasi agar aku tetap sekolah,'beliau yg merikan sokongan agar aku tetap sekolah,beliau yg merikan sokongan agar aku tetap sekolah,beliau yg memberikan — agar aku tetap sekolah,False,False,False,0.6,False,False,False,0.679,False,wrong_extraction
panjar,agreed_extracted_match,True,False,"sbg tanda jadi, kami membayar panjar separuh",,"sbg tande jadi, kami maya cengkeram separoh",,False,False,False,0.0,False,False,False,0.0,False,missed_lemma
penghematan,agreed_extracted_match,True,True,pemerintah menganjurkan penghematan dl memakai listrik,'pemereitah nganjokan cermat dl makai listrik,pemerentah nganjokan cermat dl makai listrik,tak boros; pemermntah menganjurkan penghematan dl memakai listrik,False,False,False,0.385,False,False,False,0.37,False,wrong_extraction
pengintaian,agreed_no_pair,False,True,,ngintep; tempat ngintep,,pebuatan atau perihal,False,False,False,0.0,False,False,False,0.0,False,FP
pergi,agreed_extracted_match,True,False,bapak sedang pergi,,bapak sedang kelua,,False,False,False,0.0,False,False,False,0.0,False,missed_lemma
perlawanan,agreed_extracted_match,True,False,perlawanan tadi kurang seru,,petandengan tadi kurang seru,,False,False,False,0.0,False,False,False,0.0,False,missed_lemma
posisi,agreed_extracted_match,True,True,posisi daerah Riau,'letak daerah Riau,letak daerah Riau,posisi daerah Riau,False,False,False,0.476,False,False,False,0.476,False,wrong_extraction
representatif,agreed_extracted_match,True,True,data itu kurang representatif,'data itu kurang pas,data itu kurang pas,data kurang representatif,False,False,False,0.467,False,False,False,0.29,False,wrong_extraction
rimbun,agreed_extracted_match,True,True,pohon itu berdaun rimbun,pokok itu bedaon lebat,pokok itu bedaon lebat,pohon itu berdaun rimbun,False,False,False,0.167,False,False,False,0.167,False,wrong_extraction
sakit,agreed_extracted_match,True,True,kakiku terasa sakit terinjak paku,'kakiku terase bise terinjak paku,kakiku terase bise terinjak paku,kakiku terasa sakit terinjak paku,False,False,False,0.571,False,False,False,0.571,False,wrong_extraction
semena-mena,agreed_extracted_match,True,True,tindakannye semena-mena,'tindakannye sebarangan,tindakannye sebarangan,tindakannye semena-mena,False,False,False,0.444,False,False,False,0.444,False,wrong_extraction
singgah,agreed_extracted_match,True,True,singgah dulu ke rumah kami,'mampe dulu ke rumah kami,mampe dulu ke rumah kami,singgah dulu ke rumah kami,False,False,False,0.607,False,False,False,0.607,False,wrong_extraction
sisi,agreed_extracted_match,True,False,sisi kiri,,sampeng kiri,,False,False,False,0.0,False,False,False,0.0,False,missed_lemma
stagnasi,agreed_extracted_match,True,True,stagnasi lalu lintas,'kemacetan lalu lintas,kemacetan lalu lintas,stagnasi lain lintas,False,False,False,0.37,False,False,False,0.233,False,wrong_extraction
tambah,agreed_extracted_match,True,True,"tambah, bu', kata anaknya","'lagi, mak', kate anaknye, tande tambah","lagi, mak', kate anaknye","tambah, bu', kata anaknya,",False,False,False,0.289,False,False,False,0.25,False,wrong_extraction
tampil,agreed_extracted_match,True,True,para pemenang dipersilakan tampil,'pare pemenang dipesilakan ke depan,pare pemenang dipesilakan ke depan,para pemenang dipersilakan tampil,False,False,False,0.432,False,False,False,0.432,False,wrong_extraction
target,agreed_extracted_match,True,True,melampaui target,'melampaui pekirean,melampaui pekirean,melampaui target,False,False,False,0.364,False,False,False,0.364,False,wrong_extraction
tenda,agreed_extracted_match,True,True,Suku Mantang memasang tenda di sampannya,'Suku Mantang masang kajang di sampannye,Suku Mantang masang kajang di sampannye,Suku Mantang memasang tenda di sampannya,False,False,False,0.581,False,False,False,0.581,False,wrong_extraction
tender,agreed_extracted_match,True,True,kami diberi tender oleh pimpinan perusahaan itu,'kami thbthborongankeijeolthpimpaianperusahean itu,kami diberi borongan kerje oleh pimpenan perusahean itu,kami diberi tender oleh pimpinan pensahaan itu,False,False,False,0.2,False,False,False,0.403,False,wrong_extraction
terapung-apung,agreed_extracted_match,True,True,kapal yg rusak itu terapung-apung di lautan,"a.rah n tujuan; maksod; asrat; ngadap ke... berjalan tidak tentu --nya, a1an tak tentu tujuannye",kapal yg rosak itu terapong-rapong dekat laot,"kapal yg rusak itu terapung-apung di lautan, 'kapal yg rosak itu terapong-rapong dekat laot'",False,False,False,0.035,False,False,False,0.661,True,wrong_extraction
terjangkau,agreed_extracted_match,True,True,apakah cita-citamu itu akan terjangkau,'ipckah cite-cite dikau itu akan tecapai,apekah cite-cite dikau itu akan tecapai,apakah cita-citamu itu akan terjangkau,False,False,False,0.388,False,False,False,0.388,False,wrong_extraction
terlatih,agreed_extracted_match,True,True,dia telah terlatih dg hal-hal seperti itu,'die lab tebiase dg hal-hal seperti itu,die lah tebiase dg hal-hal seperti itu,dia telah terlatih dg hal-hal seperti itu,False,False,False,0.412,False,False,False,0.5,False,wrong_extraction
tukang,agreed_extracted_match,True,True,"kalau mencari pemangkas rambut, di sini ada tukangnya","'kalau micarik pemangkas rambot, di sini ade ahlinye","kalau mencarik pemangkas rambot, di sini ade ahlinye","kalau mencari pemangkas rambut, di sini ada --nya,",False,False,False,0.456,False,False,False,0.565,False,wrong_extraction
tumbuk,agreed_extracted_match,True,True,kena tumbuk,'ke tinju,kene tinju,kena tumbuk,False,False,False,0.0,False,False,False,0.062,False,wrong_extraction
warisan,agreed_extracted_match,True,False,mendapat warisan,,mendapat pusake,,False,False,False,0.0,False,False,False,0.0,False,missed_lemma
zone,agreed_extracted_match,True,True,zone penerbangan,'kawasan penerbangan,kawasan penerbangan,hayalan zone penerbangan,False,False,False,0.476,False,False,False,0.393,False,wrong_extraction
