source_lemma,iaa_outcome,c_has_pair,c_kalimat_asal,c_kalimat_tujuan,best_a_kalimat_asal,best_a_kalimat_tujuan,match_strict,match_normalized,match_fuzzy,best_asal_fuzzy_score,best_tuj_fuzzy_score,concatenation_candidate,outcome
baransua,agreed_extracted_match,True,baransua pulang,berangsur pulang,pulang,• berangsur pulang,False,False,False,0.308,0.867,False,FN
basalero,agreed_extracted_match,True,aden indak basalero makan doh,saya tidak bernafsu makan,a- den indak '' inakan doh,saya tidak bernafsu makan,False,False,False,0.389,1.0,False,FN
basuahan,agreed_extracted_match,True,basuahan tangan adiak tu dulu,cucikan tangan adik itu dahulu,tangan adiak Lu cMu,cucikan tangan adik itu dahulu,False,False,False,0.344,1.0,False,FN
bataranak,agreed_extracted_match,True,karajonyo bataranak jawi,kerjanya berternak sapi,dek ambo karajonyo,tercontoh oleh saya kerjanya,False,False,False,0.233,0.237,False,FN
bor,agreed_extracted_match,True,ambiak bor panggiriak basi ko,ambil bor pelubang besi ini,ambiak bor panggiriak ba- si ko,ambil bor pelubang besi mi,False,False,True,0.786,0.815,False,FN
dempekan,agreed_extracted_match,True,dempekan karate tu,dempetkan kertas itu,jan kara- teh tu,jangan tebarkan kertas itu,False,False,False,0.25,0.414,False,FN
didirian,agreed_extracted_match,True,Balai Desa didirian tahun ...,Balai Desa didirikan tahun ...,syukurlah niang dibarian Tuhan,syukurlah nikniat yang diberikan Tuhan,False,False,False,0.111,0.111,False,FN
digambok,agreed_extracted_match,True,alah digambok pintu tu,sudah dikunci pintu itu,pintu tu alah ense,pintu itu sudah diberi (pa- kai) engsel,False,False,False,0.346,0.295,False,FN
dikabiri,agreed_extracted_match,True,laki si Ani alah dikabiri,suami si Ani sudah dikebiri,laki si Ani ala/i,suami si Ani sudah dikebi- Ii,False,False,False,0.5,0.786,False,FN
diosong-osong,agreed_extracted_match,True,diosong-osongnyo juo kotak tu,diusung-usungnya juga kotak itu,nyo juo kotak t14,diusung-usungnya juga kotak itu,False,False,False,0.5,1.0,False,FN
dipabaharui,agreed_extracted_match,True,rumah tu alah dipabaharui nyo,rumah itu sudah diperbaharuinya,n- mali tu alah nyo,rumah itu su- dah diperbaharuinya,False,False,False,0.265,0.812,False,FN
dipalantai,agreed_extracted_match,True,lapau kopi tu lai dipalantai,kedai kopi itu diberi pelanta,kopi tu,pekatkanx kopi itu,False,False,False,0.192,0.194,False,FN
dirancakan,agreed_extracted_match,True,dirancakan lah saketek,dibaguskan sedikit,lah saketek,dibaguskan 231 ng sedikit,False,False,False,0.45,0.625,False,FN
garuih,agreed_extracted_match,True,tampak garuih nyo,tampak goresnya,mancampakan v membuangkan;,mancampaki v membuangi,False,False,False,0.088,0.1,False,FN
jalang,agreed_extracted_match,True,jalang lah mintuo kau,kunjungilah mertuamu,jatang-manjalang v salin,"a berkun j,- jung",False,False,False,0.143,0.1,False,FN
kalambu,agreed_extracted_match,True,memasang kalambu,memasang kelambu,memasang iakeh,me- masang marawa,False,False,False,0.368,0.217,False,FN
kanyang,agreed_extracted_match,True,kanyang parauknyo,kenyang perutnya,parauknyo,kenyang perutnya; manganyangan v mengenyangkan,False,False,False,0.467,0.394,True,FN
korong,agreed_extracted_match,True,korong iko,kampung ini,iko,kampung in,False,False,False,0.125,0.889,False,FN
mada,agreed_extracted_match,True,anak tu mada bana,anak itu keras kepala benar,anak tu bang,anak itu penyapa benar,False,False,False,0.5,0.375,False,FN
makan,agreed_extracted_match,True,makan ubi,makan ubu,makan baban,makan sahur,False,False,False,0.333,0.333,False,FN
makin,agreed_extracted_match,True,makin gadang makin manjadi parangainyo,makin besar makin menjadi-jadi kelakuannya,gadang makin man- 'fadi parangainyo,makin besar ma- kin menjadli-jadi kelakuannya,False,False,False,0.694,0.805,False,FN
malambaian,agreed_extracted_match,True,malambaian sapu tangan,melambaikan sapu tangan,sa- Pu tangan,melambaikan sapu ta- ngan,False,False,False,0.292,0.76,False,FN
mambongka,agreed_extracted_match,True,inyo mambongka muatan oto,dia membongkar muatan mobil,ifl)'() muatan oto,dia membongkar muatan mobil,False,False,False,0.3,1.0,False,FN
mambuduik,agreed_extracted_match,True,jan mambuduik juo kapadonyo,jangan marah juga kepadanya,fan ' fuo kapadonyo,jangan marah juga ke- pádanya,False,False,False,0.355,0.677,False,FN
mamburuan,agreed_extracted_match,True,mamburuan karajo,mengejarkan kerja,karajo kawan,mencemoohkan kerja teman,False,False,False,0.263,0.276,False,FN
mamparanakan,agreed_extracted_match,True,karajo Mak Ani mamparanakan pitih,kerja Mak Ani membungakan uang,karajo Mak Ani pitih,kerja Mak Ani membungakan uang,False,False,False,0.567,1.0,False,FN
manempean,agreed_extracted_match,True,manempean karateh ka dindiang,menempelkan kertas ke dinding,karateh ka dindiang,menempel. kan kertas ke dinding,False,False,False,0.654,0.793,False,FN
mangikua,agreed_extracted_match,True,mangikua kalapo,mengikur kelapa,pengikuik,n pengikut,False,False,False,0.176,0.235,False,FN
manjo,agreed_extracted_match,True,anak manjo,anak manja,anak mamak,memperistri anak mamak,False,False,False,0.455,0.217,True,FN
manuduangi,agreed_extracted_match,True,anak tu manuduangi amaknyo jo payuang,anak itu menudungi ibunya dengan payung,muko- nyo Jo payuang,mukanya di- lindungi dengan payung,False,False,False,0.308,0.367,False,FN
marusuahan,agreed_extracted_match,True,ibu marusuahan adiak nan sakik,ibu merusuhkan adik yang sakit,ibu adiak sakik,ibu merusuh- kan adik yang sakit,False,False,False,0.379,0.812,False,FN
muekan,agreed_extracted_match,True,muekan panuah-panuah,muatkan penuh-penuh,panuah-pa- nuah,muatkan penuh-penuh,False,False,False,0.389,1.0,False,FN
muluik,agreed_extracted_match,True,mancuci muluik,mencuci mulut,mancuci muluik,mencu- ci mulut,False,False,False,1.0,0.6,False,FN
muncua,agreed_extracted_match,True,muncua ikan gadang,muncul ikan besar,mamuncuaan,v memunculkan,False,False,False,0.2,0.238,False,FN
pabukoan,agreed_extracted_match,True,amak mambuek pabukoan,ibu membuat perbukaan,amak mambali ense,ibu membeli engsel,False,False,False,0.259,0.207,False,FN
pacuan,agreed_extracted_match,True,pacuan kudo,tempat pacuan kuda,lari kudo tu,lan kuda itu kencang,False,False,False,0.188,0.172,False,FN
panyolang,agreed_extracted_match,True,inyo panyolang kecek urang gadang,dia suka membantah pembicaraan orang dewasa,inyo kecek urang gadang,dia suka membantah pem- bicaraan orang dewasa,False,False,False,0.679,0.886,False,FN
parah,agreed_extracted_match,True,parah santan tu,peras santan itu,santan tu,peras santan itu,False,False,False,0.538,1.0,False,FN
pasoalan,agreed_extracted_match,True,apo pasoalannyo,apa persoalannya,"apo '-nyo,","apa persoalannya; panyoal a suka menyoal sobaik nsahahat, teman",False,False,False,0.176,0.255,True,FN
pindah,agreed_extracted_match,True,pindah carito ka nan lain,pindahkan cerita kepada yang lain,curito karni kambang,cerita kaini keinban (kan,False,False,False,0.143,0.227,False,FN
sabalah,agreed_extracted_match,True,mato ambo sabalah kida ko bangkak,mata saya sebelah kiri ini bengkak,mato ambo sabaiah kida ko bangkak,mata saya sebe- lah kin ini bengkak,False,False,False,0.824,0.658,False,FN
sabuang,agreed_extracted_match,True,inyo tukang sabuang ayam,dia adalah tukang sabung ayam,tukang tacolakan,tukang rampok,False,False,False,0.179,0.156,False,FN
samantangpun,agreed_extracted_match,True,samantangpun inyo kayo awak indak mamintak ka inyo doh,"sekalipun dia kaya, kita tidak akan meminta kepadanya",inyo kayo awak indak mamintak ka inyo doh sekalipun dla kaya,kita tidak akan meminta kepa- danya,False,False,False,0.579,0.528,False,FN
sanjo,agreed_extracted_match,True,ari alah sanjo,hari sudah senja,ari alah sanjo,hari sudah senja,True,True,True,1.0,1.0,False,TP
saudagar,agreed_extracted_match,True,saudagar kayo,saudagar kaya,aka kayu,menggapai akar kayu,False,False,False,0.133,0.167,False,FN
siosio,agreed_extracted_match,True,siosio manuruiknyo,sia-sia menurutnya,manuruiknyo,sia-sia menurUtnya,False,False,False,0.6,1.0,False,FN
sobokan,agreed_extracted_match,True,sobokan lah bareh tu,campurkanlah beras itu,bareh tu,masak beras itu,False,False,False,0.333,0.32,False,FN
som,agreed_extracted_match,True,som kain tu indak elok,som kain itu tidak baik,"kain tu indak elok, som kain itu tidak baik; soman v somkan;","somiv somi; basom v bersom: kain tu indak ', kain itu tidak bersom",False,False,False,0.426,0.353,True,FN
taabihan,agreed_extracted_match,True,taabihan kue sabanyakko dek ang,terhabiskan kue sebanyak itu olehmu,kue sabanyakko dek ang terhabiskan,kue sebanyak itu olehmu; taablh-ablhan v,False,False,False,0.525,0.468,False,FN
tabinasoan,agreed_extracted_match,True,lai tabinasoan kasadonyo,ada terbinasakan semuanya,lai kasadonyo,ada terbinasakan Se- muanya,False,False,False,0.435,0.778,False,FN
takalek,agreed_extracted_match,True,agak takalek rasonyo,agak terpahit rasanya,kopi ko — rasonyo,kopi ml pahit rasanya,False,False,False,0.222,0.407,False,FN
takan,agreed_extracted_match,True,takan tombolnyo,tekan tombolnya,makan baban,makan sahur,False,False,False,0.158,0.1,False,FN
talok,agreed_extracted_match,True,indak talok den maangkeknyo,tidak kuat saya mpngangkatnya,indak tajok den maangkeknyo,tidak kuat saya mpngangkatnya,False,False,True,0.786,1.0,False,FN
tarokoki,agreed_extracted_match,True,lai tarokoki deknyo,adakah tererami olehnya,deknyo,teregang olehnya,False,False,False,0.235,0.296,False,FN
tungau,agreed_extracted_match,True,digigik tungau,digigit ulat kecil,langau hijau,n lalat hijau,False,False,False,0.105,0.083,False,FN
ubeki,agreed_extracted_match,True,ubeki batuaknyo,obati batuknya,batuaknyo,obati batuknya,False,False,False,0.538,1.0,False,FN
umanaikan,agreed_extracted_match,True,umanaikan ka anak ang,amanatkan kepada anakmu,ka anak ang,amanatkan kepada anakmu,False,False,False,0.471,1.0,False,FN
umbuakan,agreed_extracted_match,True,umbuakan supayo inyo namuah pai,bujukkan supaya ia mau pergi,supayo inyo namuah pal,bujukkan supa- ya ia mau pergi,False,False,False,0.621,0.8,False,FN
