source_lemma,iaa_outcome,c_has_pair,c_kalimat_asal,c_kalimat_tujuan,best_a_kalimat_asal,best_a_kalimat_tujuan,match_strict,match_normalized,match_fuzzy,best_asal_fuzzy_score,best_tuj_fuzzy_score,concatenation_candidate,outcome
penghematan,agreed_extracted_match,True,pemerintah menganjurkan penghematan dl memakai listrik,pemerentah nganjokan cermat dl makai listrik,"tak boros; pemermntah menganjurkan ,hématl dl memakai listrik",'pemereitah nganjokan cermat dl makai listrik,False,False,False,0.536,0.867,False,FN
pengintaian,agreed_no_pair,False,,,,,False,False,False,0.0,0.0,False,TN
pergi,agreed_extracted_match,True,bapak sedang pergi,bapak sedang kelua,bapak sedang,sedang kelua,False,False,False,0.625,0.625,False,FN
perlawanan,agreed_extracted_match,True,perlawanan tadi kurang seru,petandengan tadi kurang seru,badannya kurang subur,'badannye kurang sthat,False,False,False,0.189,0.184,False,FN
posisi,agreed_extracted_match,True,posisi daerah Riau,letak daerah Riau,daerah Riau,'letak daerah Riau,False,False,False,0.562,1.0,False,FN
representatif,agreed_extracted_match,True,data itu kurang representatif,data itu kurang pas,data 1W kurang representatif,'data itu kurang pas,False,False,False,0.71,1.0,False,FN
rimbun,agreed_extracted_match,True,pohon itu berdaun rimbun,pokok itu bedaon lebat,pohon itu berdaun rimbun,pokok itu bedaon lebat,True,True,True,1.0,1.0,False,TP
sakit,agreed_extracted_match,True,kakiku terasa sakit terinjak paku,kakiku terase bise terinjak paku,kakiku terasa sakit terinjak paku,'kakiku terase bise terinjak paku,False,True,True,1.0,1.0,False,TP
semena-mena,agreed_extracted_match,True,tindakannye semena-mena,tindakannye sebarangan,tindakannye sah,'tindakannye sebarangan,False,False,False,0.524,1.0,False,FN
singgah,agreed_extracted_match,True,singgah dulu ke rumah kami,mampe dulu ke rumah kami,dulu ke rumah kami,'mampe dulu ke rumah kami,False,False,False,0.696,1.0,False,FN
sisi,agreed_extracted_match,True,sisi kiri,sampeng kiri,kiriman,'memindahkan kireman,False,False,False,0.2,0.08,False,FN
stagnasi,agreed_extracted_match,True,stagnasi lalu lintas,kemacetan lalu lintas,la/u lintas,'tande-tande lalu lintas,False,False,False,0.286,0.423,False,FN
tambah,agreed_extracted_match,True,"tambah, bu', kata anaknya","lagi, mak', kate anaknye","bu', kata anaknya,","'lagi, mak', kate anaknye, tande tambah",False,False,False,0.652,0.629,False,FN
tampil,agreed_extracted_match,True,para pemenang dipersilakan tampil,pare pemenang dipesilakan ke depan,para pemenang dipersilakan tampil,'pare pemenang dipesilakan ke depan,False,True,True,1.0,1.0,False,TP
target,agreed_extracted_match,True,melampaui target,melampaui pekirean,melampaui target,'melampaui pekirean,False,True,True,1.0,1.0,False,TP
tenda,agreed_extracted_match,True,Suku Mantang memasang tenda di sampannya,Suku Mantang masang kajang di sampannye,Suku Mantang memasang tenda di sampannya,'Suku Mantang masang kajang di sampannye,False,True,True,1.0,1.0,False,TP
tender,agreed_extracted_match,True,kami diberi tender oleh pimpinan perusahaan itu,kami diberi borongan kerje oleh pimpenan perusahean itu,kami diberi tender oleh pimpinan pensahaan itu,'kami thbthborongankeijeolthpimpaianperusahean itu,False,False,False,0.851,0.311,False,FN
terapung-apung,agreed_extracted_match,True,kapal yg rusak itu terapung-apung di lautan,kapal yg rosak itu terapong-rapong dekat laot,kapal yg kandas itu telah ditarik,'kapal yg sangkot itu lah diterek,False,False,False,0.232,0.211,False,FN
terjangkau,agreed_extracted_match,True,apakah cita-citamu itu akan terjangkau,apekah cite-cite dikau itu akan tecapai,hal itu akan terjadi,'tentu hal itu akan tejadi,False,False,False,0.342,0.213,False,FN
terlatih,agreed_extracted_match,True,dia telah terlatih dg hal-hal seperti itu,die lah tebiase dg hal-hal seperti itu,dia telah madat dg mkok,'die lah nageh dg rokok,False,False,False,0.208,0.17,False,FN
tukang,agreed_extracted_match,True,"kalau mencari pemangkas rambut, di sini ada tukangnya","kalau mencarik pemangkas rambot, di sini ade ahlinye","kalau mencari pemangkas rambut, di sini ada --nya,","'kalau micarik pemangkas rambot, di sini ade ahlinye",False,False,True,0.796,0.868,False,FN
tumbuk,agreed_extracted_match,True,kena tumbuk,kene tinju,kena --,'kene jel,False,False,False,0.273,0.273,False,FN
warisan,agreed_extracted_match,True,mendapat warisan,mendapat pusake,mendapat —,'mendapat pusake,False,False,False,0.467,1.0,False,FN
zone,agreed_extracted_match,True,zone penerbangan,kawasan penerbangan,penerbangan,'kawasan penerbangan,False,False,False,0.643,1.0,False,FN
