source_lemma,iaa_outcome,c_has_pair,a_has_pair,c_kalimat_asal,a_kalimat_asal,c_kalimat_tujuan,a_kalimat_tujuan,match_asal_strict,match_asal_normalized,match_asal_fuzzy,match_asal_fuzzy_score,match_tujuan_strict,match_tujuan_normalized,match_tujuan_fuzzy,match_tujuan_fuzzy_score,concatenation_candidate,outcome
bros,agreed_extracted_match,True,True,bros yg dipakainya bagus sekali,yg dipakainya bagus sekali,bghos yg dipakenyo elok nian,'bghos yg dipakenyo elok nian,False,False,True,0.828,False,True,True,1.0,False,wrong_extraction
bungalo,agreed_extracted_match,True,False,waktu libur semester kami menginap di bungalo,,waktu libugh semestegh kami nginap di bungalo,,False,False,False,0.0,False,False,False,0.0,False,missed_lemma
dekadensi,agreed_extracted_match,True,True,seni sastra Indonesia mengalami dekadensi,seni sastra Indonesia mengalami dekadensi,seni sastgha Indonesia ngalami dekadensi,'seni sastgha Indonesia ngalami dekadensi,True,True,True,1.0,False,True,True,1.0,False,TP
demam,agreed_extracted_match,True,True,semalam saya demam,semalam soya demam,smalam sayo demam,'smalam sayo demam,False,False,False,0.667,False,True,True,1.0,False,wrong_extraction
demonstrasi,agreed_extracted_match,True,True,demonstrasi di pinggir jalan,di pinggir jalan,demonstghasi di tepi jalan,'demonstghasi di tepi jalan,False,False,False,0.538,False,True,True,1.0,False,wrong_extraction
desak,agreed_no_pair,False,True,,anak-anak duduk desak dl keics yg sempit,,'budak-budak duduk badesakan dl kelas yg sempit,False,False,False,0.0,False,False,False,0.0,False,FP
dilema,agreed_extracted_match,True,True,dia menghadapi dilema yg sangat sulit,"dia menghadapi dilema yg sangat sulit,",dio ngadapi dilema yg paya nian,"'dio ngadapi dilema yg paya nian' di.na .mis a dinamis: pemerintah berusaha dilema dl pembangunan, 'pemeghinta baghusaha dinamis dl pembangunan",False,True,True,1.0,False,False,False,0.296,True,wrong_extraction
dominan,agreed_extracted_match,True,True,x lebih dominan dr pd y,x lebih dominan drpd y,x lebih dominan daghi pado y,'x lebih dominan daghi pado y,False,False,True,0.783,False,True,True,1.0,False,wrong_extraction
duka,agreed_extracted_match,True,True,kawan dl suka dan duka,kawan dl suka dan duduk,kawan dl suko dan duko,'kawan dl suko dan duko,False,False,True,0.895,False,True,True,1.0,False,wrong_extraction
dwitunggal,agreed_extracted_match,True,True,dwitunggal Sukarno-Hatta,Sukarno-Hatta,duo tunggal Sukarno-Hatta,duo tunggal Sukarno-Hatta,False,False,False,0.5,True,True,True,1.0,False,wrong_extraction
edar,agreed_extracted_match,True,True,itu merupakan garis edar bumi,itu merupakan garis dwiwarna bumi,itu maghupokan gaghis edagh bumi,'itu maghupokan gaghis edagh bumi,False,False,False,0.568,False,True,True,1.0,False,wrong_extraction
eja,agreed_extracted_match,True,True,"sebelum membacanya, huruf-huruf itu kau eja dulu","sebelum membacanya, huruf-huruf itu kau eja dulu, 94",sabelum mbaconyo hughuf-hughuf itu kau ejo dulu,'sabelum mbaconyo hughuf-hughuf itu kau ejo dulu,False,False,True,0.915,False,True,True,1.0,False,wrong_extraction
entah,agreed_extracted_match,True,True,"entah apa yg dibawanya tadi, saya tidak melihatnya","apa yg dibawanya tadi,","tah apo yg dibawanyo tadi, sayo dak meliatnyo","saya tidak melihatnya, 'tab apo yg dibawanyo tadi, sayo dak meliatnyo",False,False,False,0.422,False,False,False,0.644,False,wrong_extraction
eram,agreed_extracted_match,True,False,eram kan saja telur bebek ini dgn listrik,,eghamkan be telogh itik ko dgn listghik,,False,False,False,0.0,False,False,False,0.0,False,missed_lemma
fundamental,agreed_extracted_match,True,True,iman merupakan suatu hal yg sangat fundamental di dl kehidupan manusia,iman merupakan suatu hal yg sangat fundamental di dl kehidupan manusia,imam ngupokan hal yg fundamental nian dl kidupan manusio,'imam ngupokan hal yg fundamental nian dl kidupan manusio,True,True,True,1.0,False,True,True,1.0,False,TP
gergaji,agreed_extracted_match,True,False,spt gergaji dua mata,,macam ngogaji dua mato,,False,False,False,0.0,False,False,False,0.0,False,missed_lemma
gigil,agreed_no_pair,False,True,,anak itu gigil km sakit,,'budak itu ngigil kaghno sakit,False,False,False,0.0,False,False,False,0.0,False,FP
goresan,agreed_extracted_match,True,True,hasil goresannya cukup bagus,hasil —nya cukup bagus,hasil goghesannyo cukup elok,'hasil goghesannyo cukup elok,False,False,False,0.586,False,True,True,1.0,False,wrong_extraction
guna,agreed_extracted_match,True,True,guna kepentingan umum,kepentingan umum,guno kepentingan umum,'guno kepentingan umum,False,False,False,0.737,False,True,True,1.0,False,wrong_extraction
gunjing,agreed_extracted_match,True,True,jangan suka gunjing orang,jangan suka menggunduli orang,jangan suko pitnah oghang,'jangan suko pitnah oghang,False,False,False,0.412,False,True,True,1.0,False,wrong_extraction
hafal,agreed_extracted_match,True,True,anak berumur tiga tahun itu hafal nama-nama kepala negara,anak berumur tiga tahun itu hafal nama-nama kepala negara,budak baghumugh (bausio) tigo taun tu dapat ngingat (nyebut) namo-namo kepalo negagho,'budak baghumugh (bausio) tigo taun tu dapat ngingat (nyebut) namo-namo kepalo negagho,True,True,True,1.0,False,True,True,1.0,False,TP
halal,agreed_extracted_match,True,True,perbuatan halal akan direstui Tuhan,perbuatan halal akan direstui Tuhan,kaghejo yg halal akan disukoi Tuhan,'kaghejo yg halal akan 138 disukoi Tuhan,True,True,True,1.0,False,False,True,0.842,False,wrong_extraction
hari,agreed_extracted_match,True,True,kita selalu bekerja setiap hari,kita selalu bekerja setiap hari,kito slalu begawe saban ari,Tito slalu begawe saban an,True,True,True,1.0,False,False,True,0.815,False,wrong_extraction
hinggap,agreed_extracted_match,True,True,kumbang hinggap di bunga,kumbang hinggap di bunga,kumbang inggap di kembang,'kumbang inggap di kembang,True,True,True,1.0,False,True,True,1.0,False,TP
ijuk,agreed_extracted_match,True,False,ijuk sapu itu lembut,,ijuk sapu tu lembut,,False,False,False,0.0,False,False,False,0.0,False,missed_lemma
ilegal,agreed_extracted_match,True,True,orang asing itu masuk ke Indonesia secara ilegal,orang asing itu masukke Indonesia secara ilegal,oghang asing tu masuk ka Indonesia sacagho dak ghesmi,'oghang asing tu masuk ka Indonesia sacagho dak ghesmi,False,False,True,0.894,False,True,True,1.0,False,wrong_extraction
ilustrator,agreed_extracted_match,True,True,dia pernah menjadi ilustrator buku-buku terbitan Balai Pustaka,dia pernah menjadi ilustrator buku-buku terbitan Balai Pustaka,dio peghna jadi ilustghatogh buku-buku teghbitan Balai Pustaka,'dio peghna jadi ilustghatogh buku-buku teghbitan Balai Pustaka,True,True,True,1.0,False,True,True,1.0,False,TP
incaran,agreed_extracted_match,True,True,harimau itu sedang mencari incarannya,harimau itu sedang mencari incar nya,ghimau tu lagi nyaghi incaghannyo,'ghimau tu lagi nyaghi incaghannyo,False,False,True,0.8,False,True,True,1.0,False,wrong_extraction
indikasi,agreed_extracted_match,True,True,dgn siap siaganya pasukan ABRI di perempatan jalan merupakan indikasi adanya kerawanan,dgn siap siaganya pasukan ABRI di perempatan jalan merupakan indikasi adanya kerawanan,dgn basiap-siapnyo pasukan ABRI di paghempat-an jalan ghupokan patunjuk ado kaghawanan,'dgn basiap-siapnyo pasukan ABRI di paghempat-an jalan ghupokan patunjuk ado kaghawanan,True,True,True,1.0,False,True,True,1.0,False,TP
infeksi,agreed_extracted_match,True,True,luka yg tidak dibersihkan dapat menyebabkan infeksi,luka yg tidak dibersihkan dapat menyebabkan,luko yg dak dibeghsikan dapat nyebabkan infeksi,' luko yg dak dibeghsikan dapat nyebabkan infeksi,False,False,True,0.851,False,True,True,1.0,False,wrong_extraction
jalur,agreed_extracted_match,True,True,pohon pisang itu ditanam berjalur,pohon pisang itu ditanam ber--,batang pisang tu ditanam bajaLugh,'batang pisang tu ditanam bajaLugh,False,False,True,0.788,False,True,True,1.0,False,wrong_extraction
jatuh,agreed_extracted_match,True,True,adik jatuh dr pohon,"adik jatuh drpo/zon,",adik jatu daghi batang,"'adik jatu daghi batang' ja.uh a jau: rumahnya jatuh dr sekolah, 'ghumahnyo jau daghi skola",False,False,False,0.478,False,False,False,0.299,True,wrong_extraction
jenis,agreed_extracted_match,True,True,lembu dan kerbau jenis binatang menyusui,lembu dan kerbau jenis binatang menyusui,sapi dan keghbo jenis binatang nyusui,'sapi dan keghbo jenis binatang nyusui,True,True,True,1.0,False,True,True,1.0,False,TP
jodoh,agreed_extracted_match,True,True,ia telah bertemu dgn jodohnya,ia telah bertemu dgn —nya,dio la batamu dgn jodohnya,'dio la batamu dgn jodohnya,False,False,False,0.667,False,True,True,1.0,False,wrong_extraction
kanker,agreed_extracted_match,True,True,penyakit kanker otak,penyakit kanker otak,pnyakit kankegh otak,'pnyakit kankegh otak,True,True,True,1.0,False,True,True,1.0,False,TP
kapak,agreed_extracted_match,True,True,ayah membelah kayu dgn kapak,ayah membelah kayu dgn kapak,ayah mbela kayu pake kapak,'ayah mbela kayu pake kapak,True,True,True,1.0,False,True,True,1.0,False,TP
kapten,agreed_extracted_match,True,True,kapten kesebelasan Indonesia mengajukan protes kpd wasit,"kesebelasan Indonesia mengajukan protes kpd wasit, 'kapten kasablasan Indonesia ngajukan pghotes ka wasit' ka.puk n kapuk: nenek mengisi bantal dgn kapten, 'nyaj ngisi bantal pake kapuk' ka.pur n kapugh: adik menulisi dinding dgn kapten, 'adik nulisi",kapten kasablasan Indonesia ngajukan pghotes ka wasit,"dinding pake kampugh' ka.rak.ter n watak: ia mempunyai kapten yg agak aneh dibandingkan dgn kakaknya, 'dio mpunyoi watak yg agak ane dibanding kakaknyo' ka.ram vi kagham: perahu kami kapten krn bocor, 'peghau kami kagham kaghno bocogh",False,False,False,0.351,False,False,False,0.064,True,wrong_extraction
kaus,agreed_extracted_match,True,True,baju kaus buatan Singapura itu sangat bagus sekali,baju kaus buatan Singapura itu sangat bagus sekali,baju kaos buatan Singapugh tu elok nian,'baju kaos buatan Singapugh tu elok nian,True,True,True,1.0,False,True,True,1.0,False,TP
kearsipan,agreed_extracted_match,True,True,dokumentasi yg lengkap tergantung pd kearsipan yg baik,dokumentasi yg lengkap tergantungpd vg baik. 'dokumentasi yg lcngkap teghgantung pado keaghsipan yg baik' anti n makna;aghti: apakah --nva kalimat-kalimat itu,dokumentasi yg lengkap teghgantung pado keaghsipan yg baik,'apo maknonyo kalimat-kalimat itu,False,False,False,0.366,False,False,False,0.013,True,wrong_extraction
kedudukan,agreed_extracted_match,True,True,gerhana matahari terjadi pd waktu kedudukan bulan tepat di antara bumi dan matahari,"gerhana matahari terjadi pd waktu duduk bulan tepat di antara bumi dan matahari, 'gaghhano matohaghi tajadi pado",gaghhano matohaghi tajadi pado waktu kaduduk-an bulan tepat di antagho bumi dan matohaghi,"waktu kaduduk-an bulan tepat di antagho bumi dan matohaghi' du.el IduélI v tinju: duduk antarpemuda, 'tinju antaghpemudo",False,False,False,0.639,False,False,False,0.444,False,wrong_extraction
keemasan,agreed_extracted_match,True,True,"tangkai bunga itu hijau, sedangkan bunganya kuning keemasan","rangkai bunga itu hijau,","tangke kembang itu ijo, sedangkan kembangnyo kuning kaemasan","sedangkan bunganya kuning emas, 'tangke kembang itu ijo, sedangkan kembangnyo kuning kaemasan",False,False,False,0.392,False,False,False,0.738,False,wrong_extraction
kekompakan,agreed_extracted_match,True,True,kekompakan anak itu patut dicontoh,anak itu patut dicontoh,kekompaan budak itu patut diconto,'kekompaan budak itu patut diconto,False,False,False,0.656,False,True,True,1.0,False,wrong_extraction
kemih,agreed_extracted_match,True,True,di saluran kemihnya terdapat batu ginjal,"di saluran --nya terdapat batu ginjal,",di salughan aek kencingnyo tadapat batu ginjal,"'di salughan aek kencingnyo tadapat batu ginjal' 183 ke.mi.ri n kemighi: kemih jatuk ke pan gkalnya, 'kemighi cainpak ka pangkalnyo",False,False,False,0.738,False,False,False,0.415,True,wrong_extraction
ketat,agreed_extracted_match,True,True,pengawasan di waktu EBTA sangat ketat sekali,pengawasan di waktu,pangawasan di waktu EBTA ketat nian,EBTA sangat ketat sekali,False,False,False,0.436,False,False,False,0.256,False,wrong_extraction
koalisi,agreed_extracted_match,True,True,kabinet koalisi itu didukung partai yg besar,kabinet koalisi itu didukung partai yg besar,kabinet koalisi tu didukung paghte yg besak,'kabinet koalisi tu didukung paghte yg besak,True,True,True,1.0,False,True,True,1.0,False,TP
kompak,agreed_extracted_match,True,True,kedua anak itu selalu kompak,kedua anak itu selalu kompak,keduo budak tu slalu sakato,'keduo budak tu slalu sakato,True,True,True,1.0,False,True,True,1.0,False,TP
kongres,agreed_extracted_match,True,True,kongres negara-negara berkembang sudah dimulai,negara-negara berkembang sudah dimulai,kongghes negagha-negagha beghkembang la mula-i','kongghes negagha-negagha beghkembang la mula-i,False,False,True,0.8,False,True,True,1.0,False,wrong_extraction
konsisten,agreed_extracted_match,True,True,perbuatan hendak konsisten dgn perkataan,perbuatan hendak konsisten dgnperkataan,peghbuat-an nyala konsisten dgn ucap-an,'peghbuat-an nyala konsisten dgn ucap-an,False,False,True,0.868,False,True,True,1.0,False,wrong_extraction
korps,agreed_extracted_match,True,True,korps polisi militer,polisi militer,kumpulan polisi militegh,'kumpulan polisi militegh,False,False,False,0.667,False,True,True,1.0,False,wrong_extraction
kumal,agreed_extracted_match,True,True,pakaian saya sudah kumal krn tidak digosok,pakaian saya sudah kumal km tidak digosok,pakean sayo la kaghomot-an kaghno ndak digosok,'pakean sayo la kaghomot-an kaghno ndak digosok,False,False,True,0.837,False,True,True,1.0,False,wrong_extraction
kupasan,agreed_extracted_match,True,True,kupasannya sangat rapi,nya sangat rapi,koce'annyo sangat elok,'koce'annyo sangat elok,False,False,False,0.684,False,True,True,1.0,False,wrong_extraction
kurikuler,agreed_extracted_match,True,True,siswa disuruh membuat tugas kurikuler,siswa disuruh membuat tugas kurikuler,mughid disughu mbuat tugas kughikulegh,'mughid disughu mbuat tugas kughikulegh,True,True,True,1.0,False,True,True,1.0,False,TP
kurva,agreed_extracted_match,True,True,sudut kurva itu membentuk parabola,sudut mengurung itu membentuk parabola,sudut kughva tu mbentuk paghabola,'sudut kughva tu mbentuk paghabola,False,False,False,0.595,False,True,True,1.0,False,wrong_extraction
membadik,agreed_extracted_match,True,True,krn sakit hati dia membadik kawannya,krn sakit hati dia badik kawannya,kaghno sakit ati dio nikam kawannyo,'kaghno sakit ati dio nikam kawannyo,False,False,True,0.806,False,True,True,1.0,False,wrong_extraction
membubarkan,agreed_extracted_match,True,True,komandan upacara membubarkan barisan,komandan upacara bubar barisan,komandan upacagha mubaghkan baghisan,'komandan upacagha mubaghkan baghisan,False,False,False,0.639,False,True,True,1.0,False,wrong_extraction
memperdagangkan,agreed_extracted_match,True,True,orang itu memperdagangkan barang-barang antik,orang itu dagang barang-barang antik,oghang tu nagangkan baghang-baghang antik,'oghang tu nagangkan baghang-baghang antik,False,False,False,0.579,False,True,True,1.0,False,wrong_extraction
mencemarkan,agreed_extracted_match,True,True,asap itu mencemarkan lingkungan,"asap itu cekik lingkungan, 'asap tu nyemaghkan lingkungan'; tercemar",asap tu nyemaghkan lingkungan,"Vi tacemar: sungai itu telah cekik, 'sungai tu tlah tacemagh",False,False,False,0.373,False,False,False,0.111,True,wrong_extraction
mencetak,agreed_extracted_match,True,True,mencetak kamus,kamus,mencetak kamus,'mencetak kamus,False,False,False,0.25,False,True,True,1.0,False,wrong_extraction
menggiling,agreed_extracted_match,True,True,setiap hari ibu menggiling cabe untuk masak,setiap hart ibu glling cabe untuk masak,saban haghi Mak ngiling cabe untuk masak,'saban haghi Mak ngiling cabe untuk masak,False,False,False,0.625,False,True,True,1.0,False,wrong_extraction
mengizinkan,agreed_extracted_match,True,True,orang yuanya telah mengizinkannya untuk segera menikah,orang yuanya telah izin nya untuk segera menikaiz,oghang tuonyo la ngizinkannyo untuk sagegho kawin','oghang tuonyo la ngizinkannyo untuk sagegho kawin,False,False,False,0.691,False,True,True,1.0,False,wrong_extraction
mengklaim,agreed_extracted_match,True,True,ada negara lain yg mengklaim kepulauan kita,ada negara lain yg klaim kepulauan kita,ado nagagha lain yg mengklaim kapulauan kito,'ado nagagha lain yg mengklaim kapulauan kito,False,False,True,0.81,False,True,True,1.0,False,wrong_extraction
pengacara,agreed_extracted_match,True,True,sebelum sidang tersangka boleh mencari pengacara,"sebelum sidang tersangka bole/i mencari acar,",sebelum sidang teghsangka boleh mencaghi pengacagha,"'sebelum sidang teghsangka boleh mencaghi pengacagha' a.cu v acu; conto mengacu v ngacu: ia membentak sambil acar hendak menikam, 'dio mbentak sambil ngacu ndak nikam'; acuan n contoan: buku mi boleh dipakai sgb acar, 'buku iko bole dipake sebage contoan' a.cuh a peduli: ia tidak acar akan larangan orang tuanya, 'dio dak peduli akan laghangan oghang tuonyo",False,False,False,0.68,False,False,False,0.208,True,wrong_extraction
penggodokan,agreed_extracted_match,True,True,setelah penggodokan dl penataran itu selesal diharapkan akan lahir wartawan-wartawan yg bermutu,"setelah u! dl penataran itu selesal diharapkan akan lahir wartawan-wartawan yg bermutu, 'setelah penggodok-an dl penataghan itu selese dihaghapkan akan lahigh waghtawan-waghtawan yg beghmutu' go.kar n gokagh: ayah membelikan adik u!, 'aya melikan adik gokagh'; pembalap u! adu cepat di arena",setelah penggodok-an dl penataghan itu selese dihaghapkan akan lahigh waghtawan-waghtawan yg beghmutu,"balap mobil Ancol Jakarta, 'pembalap gokagh adu cepat di aghena balap mobil Ancol Jakaghta' gol n go!: bola itu tinggi melampaui mistar u!, 'bola itu tinggi melampaui mistagh go!' goJak n golak: air yg dimasak menyebabkan u!, 'aek yg dimasak nyebabkan golak",False,False,False,0.435,False,False,False,0.079,True,wrong_extraction
penggusuran,agreed_extracted_match,True,True,penggusuran penduduk telah dimulai,penduduk telah dimulai,penggusughan penduduk la dimula-i,'penggusughan penduduk la dimula-i,False,False,False,0.645,False,True,True,1.0,False,wrong_extraction
perguruan,agreed_extracted_match,True,True,perguruan tinggi negeri,"tinggi negeri, 'peghgughuan tinggi negeghi' gu.ruh n gughuh:",peghgughuan tinggi negeghi,"harapkan guntingan di langit, 'haghapkan gughuh di langit",False,False,False,0.306,False,False,False,0.105,True,wrong_extraction
