dict_id,source_lemma,main_lemma,kalimat_asal,kalimat_tujuan,pos
91,lantos,lantos,ulang ma lantos tu,jangan terlalu pintar,a
91,layangi,layang,hu layangi ho,kamu kulangkahi,v
91,lintagtag,lintagtag,lintagtag madabuh humbani bulung ni hawei,titik hujan jatuh dari daun keladi,n
91,losei,losei,"anggo domma losei, mulak ma!","kalau sudah selesai, pulanglah!",v
91,majol,majol,majol pisor min do i boan ho,tumpul sekali pisau yang kamu bawa,a
91,mal-mal,mal,parau ai mal-mal i hunduli,rumput itu hampir mati diduduki,adv
91,mambotoh,botoh,ganup do halak mambotoh duit,semua orang mengetahui tentang uang,v
91,manderset,derset,manderset mando ai halani naborit,dia tidak bergerak lagi karena sakit,v
91,manghonongi,honong,manghonongi unong,menyelami lubuk,v
91,mangiligi,iligi,mangiligi na mateian,menjenguk yang kematian,v
91,mangupir,upir,lalap mangupir do tong uluni anggo isuruh,kepalanya selalu menggeleng kalau disuruh,v
91,martartar,tartar,bahat duitni martartar i jai,banyak uangnya berserak di sana,v
91,masa,masa,aha na masa i Saribudolok?,apa yang terjadi si Seribudolok?,n
91,mayap,mayap,tuktukku mayap i ombus logou,topiku terbang di hembus angin,v
91,milas,milas,mesin kareta ai milas tumang halani dommah dokkah mardalan,mesin kereta itu panas sekali karena sudah lama berjalan,a
91,mumuk,mumuk,kaen ai domma mukmuk,kain itu sudah buruk,a
91,munjar,munjar,ia manliar munjar dassa,dia berpidato atas keinginannya sendiri,v
91,naenei,naenei,sonaima naenei ompung mubah,semoga nenek sembuh kembali,adv
91,naporon,naporon,adong do ulog i naporon,ular ada disemak-semak,n
91,nar-nar,nar-nar,ulang idogei nar-nar ai,jangan dipijak bara api itu,n
91,nari,nari,sadari nari mulak inang hun kota,ibu pulang dari kota sehari lagi,adv
91,oak,oak,oak mangigi au manangar,aku tidak suka mendengar suara orang muntah,n
91,omou,omou,ganupan turi-turianmu omou hagasupan,ceritanya semua dusta,a
91,ongkap,ongkap,ongkap songon nai tutung,panas seperti terbakar,a
91,palei,palei,palei dassa ho mahorja,kamu sangat lamban bekerja,a
91,parah,parah,parah do pangahapni,penyakitnya parah,v
91,paris,paris,roh udan paris,hujan gerimis turun,n
91,pasul,pasul,ulang pasul,jangan takabur,a
91,paturut,paturut,paturut misir lobei,biarkan dia pergi dahulu,v
91,pegol,pegol,pegol balobasni,mistarnya melengkung,a
91,pitut,pitut,pitut lubangni igung,hidungnya tersumbat,v
91,pogih,pogih,pogit daini bagad on,rasa tuak ini pahit sekali,a
91,pokan,pokan,eda marjual sia hu pokan,kakak menjual cabe ke pekan,n
91,poltik,poltik,poltik bahen panangkut,eratkan ikatannya,a
91,puru,puru,bahat puru ni,banyak purunya,n
91,ranggou,ranggou,ilangma ranggou bahen panuanmu tane,jangan buat jarang tanamanmu,a
91,ring-ring,ring-ring,"jolma, bahat ring-ring badan ni","manusia, banyak anggota badannya",n
91,rongkih,rongkih,rongkih angkula manghorjahon horja ai,capek badan mengerjakan kerja itu,
91,rumbung,rumbung,si Tongat jenges marrumbung,si Tongat bagus bersuara besar,n
91,sahal,sahal,sahal dai ni salak ai,rasa salak itu tengik,a
91,sahan,sahan,boan hu jon sahan in!,bawa kemari cawan itu!,n
91,salohot,salohot,"sada hutinta ni halak Simalungun, nini songon anggo diidah lang iboban, ahama ai? aima salohot","satu teka-teki orang Simalungun, katanya begini, kalau dilihat tidak dibawa, tetapi kalau tidak dilihat, dibawa-bawa, apakah itu? Itulah salohot",n
91,sia,sia,nongkan indahan bae sia!,taruh nasi ini ke rantang!,n
91,sihap,sihap,sihap do ia roh,cepat juga ia datang,a
91,sodang,sodang,sodang mardiha ho nabudari i jabu?,sedang apa kau semalam di rumah?,adv
91,soh,soh,ulangma nasiam soh anggo garama ope!,jangan kamu diam selagi muda!,n
91,subut,subut,dopma subut guru parlajaran ai,pelajaran itu sudah diterangkan guru,v
91,tang,tang,sai do tang harosukni,hanya itu cintanya,adv
91,tasak,tasak,domma tasak indahanmu i?,sudah matang nasimu itu?,a
91,telpak,telpak,ai mase telpak na sada on?,mengapa yang satu ini kurang?,adv
91,tenjalak,tenjalak,mase tenjalak ho i jin?,mengapa engkau meloncat di situ?,v
