source_lemma,iaa_outcome,c_has_pair,a_has_pair,c_kalimat_asal,a_kalimat_asal,c_kalimat_tujuan,a_kalimat_tujuan,match_asal_strict,match_asal_normalized,match_asal_fuzzy,match_asal_fuzzy_score,match_tujuan_strict,match_tujuan_normalized,match_tujuan_fuzzy,match_tujuan_fuzzy_score,concatenation_candidate,outcome
bagaruiki,agreed_extracted_match,True,False,bagaruiki pungguangnyo,,digaruki punggungnya,,False,False,False,0.0,False,False,False,0.0,False,missed_lemma
bagili,agreed_extracted_match,True,False,berang inyo bagili,,marah ia digelitik,,False,False,False,0.0,False,False,False,0.0,False,missed_lemma
bakodek,agreed_extracted_match,True,True,nyo bakodek ka pasa,"nyo ka pasa, dia memakai kam panjang ke pasar",dia memakai kain panjang ke pasar,"kok p kalau: kocok dikincah lamarinyo, kalau diusai lemarinya",False,False,False,0.17,False,False,False,0.04,True,wrong_extraction
balabiah,agreed_extracted_match,True,True,balabiah limo buah,limo buah,berlebih lima buah,berlebih lima buah,False,False,False,0.438,True,True,True,1.0,False,wrong_extraction
ban,agreed_extracted_match,True,True,alah malatuih ban karetangin den,"alah malatuih ban kareta- ngin den, sudah meletus ban sepe. da saya ba,na' a benar: lag! ban kecek urang tu, apakah benar kata orang itu ba.nak n benak: ban talatak di k.apalo, benak terletak di kepala; indak",sudah meletus ban sepeda saya,"babanak Id tidak berpikir ba.nam v benam; banaman v benamkan: ' ka dalam aid, benamkan kedalam air; babanain v berbenain: baa mandi ban sa u, belilah benang penjahit baju ban.da n pant: mambuek—aifran ala, membuat pant aliran air",False,False,False,0.179,False,False,False,0.051,True,wrong_extraction
baransua,agreed_extracted_match,True,False,baransua pulang,,berangsur pulang,,False,False,False,0.0,False,False,False,0.0,False,missed_lemma
basalero,agreed_extracted_match,True,True,aden indak basalero makan doh,a- den indak '' inakan doh,saya tidak bernafsu makan,saya tidak bernafsu makan,False,False,False,0.389,True,True,True,1.0,False,wrong_extraction
basuahan,agreed_extracted_match,True,True,basuahan tangan adiak tu dulu,tangan adiak Lu cMu,cucikan tangan adik itu dahulu,cucikan tangan adik itu dahulu,False,False,False,0.344,True,True,True,1.0,False,wrong_extraction
bataranak,agreed_extracted_match,True,True,karajonyo bataranak jawi,"karajonyo ' jawi, keijanya berternak sapi ta.rang a terang,",kerjanya berternak sapi,"jelas: tarajang bana lam- Pu tu, terang sekai.i lainpu itu",False,False,False,0.233,False,False,False,0.028,True,wrong_extraction
bor,agreed_extracted_match,True,True,ambiak bor panggiriak basi ko,ambiak bor panggiriak ba- si ko,ambil bor pelubang besi ini,ambil bor pelubang besi mi,False,False,True,0.786,False,False,True,0.815,False,wrong_extraction
dempekan,agreed_extracted_match,True,False,dempekan karate tu,,dempetkan kertas itu,,False,False,False,0.0,False,False,False,0.0,False,missed_lemma
didirian,agreed_extracted_match,True,True,Balai Desa didirian tahun ...,Balai,Balai Desa didirikan tahun ...,De,False,False,False,0.13,False,False,False,0.0,False,wrong_extraction
digambok,agreed_extracted_match,True,True,alah digambok pintu tu,ala/i pintz1 tu,sudah dikunci pintu itu,sudah dikunci pintu itu,False,False,False,0.179,True,True,True,1.0,False,wrong_extraction
dikabiri,agreed_extracted_match,True,False,laki si Ani alah dikabiri,,suami si Ani sudah dikebiri,,False,False,False,0.0,False,False,False,0.0,False,missed_lemma
diosong-osong,agreed_extracted_match,True,True,diosong-osongnyo juo kotak tu,nyo juo kotak t14,diusung-usungnya juga kotak itu,diusung-usungnya juga kotak itu,False,False,False,0.5,True,True,True,1.0,False,wrong_extraction
dipabaharui,agreed_extracted_match,True,True,rumah tu alah dipabaharui nyo,n- mali tu alah nyo,rumah itu sudah diperbaharuinya,rumah itu su- dah diperbaharuinya,False,False,False,0.265,False,False,True,0.812,False,wrong_extraction
dipalantai,agreed_extracted_match,True,True,lapau kopi tu lai dipalantai,"lapau kopi tu lai , kedai kopi itu dibeni pelanta; mamalantai v memberi (membuat- kan) pelanta; tapalantai v terbeni (terbuatkan) pelanta paia.pah n pelepah: dipalantai",kedai kopi itu diberi pelanta,"karambia tu fatuah, pelepah kelapa itu jatuh paia.slk n penyakit (yang menimpa anak kecil); pelesit paia.su a palsu: inyo tabali ameh dipalantai, dia terbeli emaq palsu",False,False,False,0.227,False,False,False,0.063,True,wrong_extraction
dirancakan,agreed_extracted_match,True,True,dirancakan lah saketek,lah saketek,dibaguskan sedikit,dibaguskan 231 ng sedikit,False,False,False,0.45,False,False,False,0.625,False,wrong_extraction
garuih,agreed_extracted_match,True,False,tampak garuih nyo,,tampak goresnya,,False,False,False,0.0,False,False,False,0.0,False,missed_lemma
jalang,agreed_extracted_match,True,False,jalang lah mintuo kau,,kunjungilah mertuamu,,False,False,False,0.0,False,False,False,0.0,False,missed_lemma
kalambu,agreed_extracted_match,True,False,memasang kalambu,,memasang kelambu,,False,False,False,0.0,False,False,False,0.0,False,missed_lemma
kanyang,agreed_extracted_match,True,False,kanyang parauknyo,,kenyang perutnya,,False,False,False,0.0,False,False,False,0.0,False,missed_lemma
korong,agreed_extracted_match,True,False,korong iko,,kampung ini,,False,False,False,0.0,False,False,False,0.0,False,missed_lemma
mada,agreed_extracted_match,True,False,anak tu mada bana,,anak itu keras kepala benar,,False,False,False,0.0,False,False,False,0.0,False,missed_lemma
makan,agreed_extracted_match,True,True,makan ubi,pamintaan awak,makan ubu,makbul permintaan kita,False,False,False,0.056,False,False,False,0.08,True,wrong_extraction
makin,agreed_extracted_match,True,True,makin gadang makin manjadi parangainyo,gadang makin man- 'fadi parangainyo,makin besar makin menjadi-jadi kelakuannya,makin besar ma- kin menjadli-jadi kelakuannya,False,False,False,0.694,False,False,True,0.805,False,wrong_extraction
malambaian,agreed_extracted_match,True,True,malambaian sapu tangan,sa- Pu tangan,melambaikan sapu tangan,melambaikan sapu ta- ngan,False,False,False,0.292,False,False,True,0.76,False,wrong_extraction
mambongka,agreed_extracted_match,True,True,inyo mambongka muatan oto,ifl)'() muatan oto,dia membongkar muatan mobil,dia membongkar muatan mobil,False,False,False,0.3,True,True,True,1.0,False,wrong_extraction
mambuduik,agreed_extracted_match,True,False,jan mambuduik juo kapadonyo,,jangan marah juga kepadanya,,False,False,False,0.0,False,False,False,0.0,False,missed_lemma
mamburuan,agreed_extracted_match,True,True,mamburuan karajo,ka- rajo,mengejarkan kerja,ifiengejarkan kerja,False,False,False,0.111,False,False,True,0.778,False,wrong_extraction
mamparanakan,agreed_extracted_match,True,False,karajo Mak Ani mamparanakan pitih,,kerja Mak Ani membungakan uang,,False,False,False,0.0,False,False,False,0.0,False,missed_lemma
manempean,agreed_extracted_match,True,False,manempean karateh ka dindiang,,menempelkan kertas ke dinding,,False,False,False,0.0,False,False,False,0.0,False,missed_lemma
mangikua,agreed_extracted_match,True,True,mangikua kalapo,"kalapo, mengikur kelapa ku.la.bu n",mengikur kelapa,"kelabu, sejenis warna ku.lai a kulai",False,False,False,0.222,False,False,False,0.048,True,wrong_extraction
manjo,agreed_extracted_match,True,False,anak manjo,,anak manja,,False,False,False,0.0,False,False,False,0.0,False,missed_lemma
manuduangi,agreed_extracted_match,True,True,anak tu manuduangi amaknyo jo payuang,anaknyo Jo kain,anak itu menudungi ibunya dengan payung,anaknya ditudungi de- ngan kain tu.ga n alat untuk pe!ubang tanah untuk bertanam; tugaan n tanaman pada !ubang yang berjejer: 'Jaguang tu tugal- kanjagung itu,False,False,False,0.243,False,False,False,0.142,True,wrong_extraction
marusuahan,agreed_extracted_match,True,True,ibu marusuahan adiak nan sakik,ibu adiak sakik,ibu merusuhkan adik yang sakit,ibu merusuh- kan adik yang sakit,False,False,False,0.379,False,False,True,0.812,False,wrong_extraction
muekan,agreed_extracted_match,True,True,muekan panuah-panuah,panuah-pa- nuah,muatkan penuh-penuh,muatkan penuh-penuh,False,False,False,0.389,True,True,True,1.0,False,wrong_extraction
muluik,agreed_extracted_match,True,True,mancuci muluik,mancuci muluik,mencuci mulut,mencu- ci mulut,True,True,True,1.0,False,False,False,0.6,False,wrong_extraction
muncua,agreed_extracted_match,True,True,muncua ikan gadang,"ikan gadang, muncul ikan besar; muncuaan",muncul ikan besar,"v munculkan: kapalo ang, munculkan kepalamu",False,False,False,0.424,False,False,False,0.146,True,wrong_extraction
pabukoan,agreed_extracted_match,True,True,amak mambuek pabukoan,"amak mambuek ', ibu membuat perbu- kaan 1 bu.ku n buku: adiak mambali babuko, adik membeli buku n buku: babuko tabu tu kareh, bu- ku tebu itu",ibu membuat perbukaan,"keras; babuku v berbuku: tabu , tebu berbuku bu.lan n bulan: hari tarang babuko, han te- rang bulan bu.lek a bulat: bola itu babuko, bola itu bulat",False,False,False,0.139,False,False,False,0.04,True,wrong_extraction
pacuan,agreed_extracted_match,True,False,pacuan kudo,,tempat pacuan kuda,,False,False,False,0.0,False,False,False,0.0,False,missed_lemma
panyolang,agreed_extracted_match,True,True,inyo panyolang kecek urang gadang,inyo kecek urang gadang,dia suka membantah pembicaraan orang dewasa,dia suka membantah pem- bicaraan orang dewasa,False,False,False,0.679,False,False,True,0.886,False,wrong_extraction
parah,agreed_extracted_match,True,True,parah santan tu,santan tu,peras santan itu,peras santan itu,False,False,False,0.538,True,True,True,1.0,False,wrong_extraction
pasoalan,agreed_extracted_match,True,True,apo pasoalannyo,"apo '-nyo,",apa persoalannya,"apa persoalannya; panyoal a suka menyoal sobaik nsahahat, teman",False,False,False,0.176,False,False,False,0.255,True,wrong_extraction
pindah,agreed_extracted_match,True,False,pindah carito ka nan lain,,pindahkan cerita kepada yang lain,,False,False,False,0.0,False,False,False,0.0,False,missed_lemma
sabalah,agreed_extracted_match,True,True,mato ambo sabalah kida ko bangkak,agiah am- bo sabaiah,mata saya sebelah kiri ini bengkak,ben ' sáya sebelah/setengah,False,False,False,0.171,False,False,False,0.217,False,wrong_extraction
sabuang,agreed_extracted_match,True,True,inyo tukang sabuang ayam,"inyo lah sabanta ambo callak tadi, dia sudah harnpir menangis saya ithat tadi; sa.ba .rang n seberang: inyo datang dari nagari sabanta,",dia adalah tukang sabung ayam,"dia datang dan negeri seberang; A sabarang adv dl sebe rang: inyo kini tingga Padang, dia sekarang tinggal di seberang Pa- dang",False,False,False,0.066,False,False,False,0.087,True,wrong_extraction
samantangpun,agreed_extracted_match,True,True,samantangpun inyo kayo awak indak mamintak ka inyo doh,inyo kayo awak indak mamintak ka inyo doh sekalipun dla kaya,"sekalipun dia kaya, kita tidak akan meminta kepadanya",kita tidak akan meminta kepa- danya,False,False,False,0.579,False,False,False,0.528,False,wrong_extraction
sanjo,agreed_extracted_match,True,True,ari alah sanjo,ari alah sanjo,hari sudah senja,hari sudah senja,True,True,True,1.0,True,True,True,1.0,False,TP
saudagar,agreed_extracted_match,True,False,saudagar kayo,,saudagar kaya,,False,False,False,0.0,False,False,False,0.0,False,missed_lemma
siosio,agreed_extracted_match,True,True,siosio manuruiknyo,manuruiknyo,sia-sia menurutnya,sia-sia menurUtnya,False,False,False,0.6,False,True,True,1.0,False,wrong_extraction
sobokan,agreed_extracted_match,True,True,sobokan lah bareh tu,kth ba- reh tu,campurkanlah beras itu,campurkanlah beras itu,False,False,False,0.25,True,True,True,1.0,False,wrong_extraction
som,agreed_extracted_match,True,True,som kain tu indak elok,"kain tu indak elok, som kain itu tidak baik; soman v somkan;",som kain itu tidak baik,"somiv somi; basom v bersom: kain tu indak ', kain itu tidak bersom",False,False,False,0.426,False,False,False,0.353,True,wrong_extraction
taabihan,agreed_extracted_match,True,False,taabihan kue sabanyakko dek ang,,terhabiskan kue sebanyak itu olehmu,,False,False,False,0.0,False,False,False,0.0,False,missed_lemma
tabinasoan,agreed_extracted_match,True,True,lai tabinasoan kasadonyo,lai kasadonyo,ada terbinasakan semuanya,ada terbinasakan Se- muanya,False,False,False,0.435,False,False,True,0.778,False,wrong_extraction
takalek,agreed_extracted_match,True,True,agak takalek rasonyo,"agak rason y o. agak terpahit rasana ka.Iem.pong it alat kelainin laki- laki ka.Ieng n kaleng: ,,u',iteia. l.zaleng mentega: sakaleng",agak terpahit rasanya,"nu,n satu kaleng: Su- sit, satu kaleng susu ka.Ie.pak ,krah haju: kaiau. hajuni'o ku- ,nua i sunua tit, i.ralilali suniur itu",False,False,False,0.106,False,False,False,0.009,True,wrong_extraction
takan,agreed_extracted_match,True,True,takan tombolnyo,"ruin bol,n'o,",tekan tombolnya,tekan torn bolnya,False,False,False,0.045,False,False,False,0.556,False,wrong_extraction
talok,agreed_extracted_match,True,False,indak talok den maangkeknyo,,tidak kuat saya mpngangkatnya,,False,False,False,0.0,False,False,False,0.0,False,missed_lemma
tarokoki,agreed_extracted_match,True,True,lai tarokoki deknyo,"lai deknyo, adakah tererami olehnya rol n",adakah tererami olehnya,"penggaris, mistar roman a bentuk, ekspresi, wajah",False,False,False,0.167,False,False,False,0.0,True,wrong_extraction
tungau,agreed_extracted_match,True,True,digigik tungau,digigik digigit ulat kecil tung.ga .nai,digigit ulat kecil,n pucuk pimpinan dalam suatu kaum,False,False,False,0.229,False,False,False,0.0,True,wrong_extraction
ubeki,agreed_extracted_match,True,True,ubeki batuaknyo,batuaknyo,obati batuknya,obati batuknya,False,False,False,0.538,True,True,True,1.0,False,wrong_extraction
umanaikan,agreed_extracted_match,True,True,umanaikan ka anak ang,ka anak ang,amanatkan kepada anakmu,amanatkan kepada anakmu,False,False,False,0.471,True,True,True,1.0,False,wrong_extraction
umbuakan,agreed_extracted_match,True,True,umbuakan supayo inyo namuah pai,supayo inyo namuah pal,bujukkan supaya ia mau pergi,bujukkan supa- ya ia mau pergi,False,False,False,0.621,False,False,True,0.8,False,wrong_extraction
