source_lemma,main_lemma_a1,main_lemma_a2,pos_a1,pos_a2,kalimat_asal_a1,kalimat_asal_a2,kalimat_tujuan_a1,kalimat_tujuan_a2,notes_a1,notes_a2,notes_family_a1,notes_family_a2,outcome
bungul,bungul,bungul,a,a,bungul banar,bungil banar,bodoh sekali,bodoh sekali,,,,,disagree_content
cangang,cangang,cangang,v,v,cangang ka muha,cangana ka muha,menatap ke muka,menatap ke muka,,,,,disagree_content
cundai,cundai,cundai,a,a,batang nyiur cundai ka pahumaan,batang nyiur cundai ka pahuman,pohon nyiur condong ke sawah,pohon nyiur condong ke sawah,,,,,disagree_content
kalanjian,lanji,lanji,a,a,jangan kalanjian kaitu pang!,jangan kalanjuian kaitu pang!,Tolong jangan terlalu genit spt itu!,tolong jangan terlalu genit spt itu!,,,,,disagree_content
karubuti,karubut,karubut,v,v,karubuti pang kuitan sidin sudah tuha,kalu pina kami karubuti,tolong tinggal bersama org tua saja krn beliau sdh tua,nanti kami keroyok,,,,,disagree_content
lanji,lanji,lanji,a,a,lanjiannya ikam ni,lanjinya ikam ni,kamu ini genit sekali,kamu ini genti sekali,,,,,disagree_content
maanginakan,angin,angin,v,v,maanginakan baju baal,mun malam lawang lawan lalungkang ditutup kaina kaanginan,menganginkan baju basah,kalau malam pintu dan jendela ditutup nanti keanginan,,,,,disagree_content
magaas,gaas,gaas,v,v,tikus magaas mun musim panghujan,tikur magaas mun musim panghujan,tikus mengganas ketika musim penghujan,tikus mengganas ketika musim penghujan,,,,,disagree_content
mahawar,hawar,hawar,v,v,,abah mahawar adupan,,ayah melempar dengan potongan kayu anjing,no example sentences,,no_pair,,disagree_extract
mahayaakan,mahayaakan,mahayaakan,v,v,inya mahayaakan banar amun adingnya tulak,inya mahaakan banar amun adingnya tulak,dia sangat khawatir apabila adiknya tulak,dia sangat khawatir apabila adiknya tulak,,,,,disagree_content
malambar,lambar,lambar,v,v,gawain kami malambar,gawian kami malambar,pekerjaan kami melambar membuat lembaran daun nipah menjadi atap,pekerjaan kami membuat lembaran daun nipah menjadi atap,di tujuan ttp ada ~,,other,,disagree_content
mancucul,cucul,cucul,v,v,mancucul pahumaan,cucul ratik nang saduyau nitu,membakar sawah,bakar sampah-sampah yg menumpuk itu,,,,,disagree_content
mandam,mandam,mandam,v,v,panglihatanku ikam tu mandam tarus,panglihatanku ikam tu mandam tarus,penglihatanku kamu itu tertegun terus,penglihatanku itu tertegun terus,,,,,disagree_content
mangit,mangit,mangit,a,a,rasa mangit pang sudah wadai nani,rasa mangit pang pang sudah wadai nani,rasa sangat manis sih kue ini,rasa sangat manis sih kue ini,,,,,disagree_content
manjurak,jurak,jurak,v,v,amun manjurak mangga pakai kayu nang panjang,amun manjurak mangga pakai kayu nan panjang,kalau menjolok mangga harus menggunakan kayu yang panjang,kalau menjolok mangga harus menggunakan kayu yang panjang,,,,,disagree_content
manyangka,sangka,sangka,v,v,aku kada manyangka inya nang bakaramput,aku kada manyangkan inya nang bakaramput,saya tdk menyangka dia yg berbohong,saya tdk menyangka dia yg berbohong,,,,,disagree_content
manyugihakan,sugih,sugih,v,v,duit cuntanan tu kada manyugihakan jua,duit cuntanan itu kada manyugihkan jua,uang hasil curian itu tdk membuat kaya juga,uang hasil curian itu tdk membuat kaya juga,,,,,disagree_content
marandakakan,randak,randak,v,v,inya tu katuju banar marandakakan bajunya,inya tu katuju banar marandakan bajunya,ia itu suka sekali menghamburkan bajunya,ia itu suka sekali menghamburkan bajunya,,,,,disagree_content
pingkut,pingkut,pingkut,v,v,pingkut kuat-kuat biar kada gugur,pingkuta kuat-kuat biar kada gugur,pegang kuat-kuat supaya tidak jatuh,pegang kuat-kuat supaya tidak jatuh,,,,,disagree_content
pusut,pusut,pusut,v,v,pusut kapalanya bagamatan,pusut kapalanya bagamalan,belai kepalanya pelan-pelan,belai kepalanya pelan-pelan,,,,,disagree_content
salamatan,salamat,salamat,adv,adv,salamatan ja barataan,salamatan ja barantaan,semuanya dlm keadaan selamat,semuanya dlm keadaan selamat,,,,,disagree_content
sing janakan,janak,janak,,,sing janakan guring sampai mangaruh,sing jakanan guring sampai mangaruh,nyenyak sekali tidurnya hingga mendengkur,nyenyak sekali tidurnya hingga mendengkur,,no pos found,,other,disagree_content
tabair,bair,bair,v,v,lagi bajalan tabair ratik kayu,lagi bajalan tabair ratik,sdg berjalan terseret ranting,sdg berjalan terseret ranting,,,,,disagree_content
tagur,tagur,tagur,v,v,inya kakanakan nang nakal ngitu,inya tagur kakanakan nang nakal ngitu,ia tegur anak-anak yg nakal itu,ia tegur anak-anak yg nakal itu,,,,,disagree_content
tahangit,hangit,hangit,a,a,aku tih manyanga gaguduh tahangit,aku tih manyanga gaguduh,saya menggoreng pisang guring lebih hangus,saya menggoreng pisang guring lebih hangus,,,,,disagree_content
tasaru,saru,saru,v,v,kada papalah tasaru urang subarang?,kada papalah tasaru urang subarang?,tdk apa-apa ya terundang org seberang?,tdk apa-apa yg terundang org seberang?,,,,,disagree_content
