source_lemma,iaa_outcome,pos_a1,pos_a2,pos_annotator_agree,morph_pos,morph_source,morph_matches_a1,morph_matches_a2
tender,agreed_extracted_match,n,n,True,,missing,False,False
terapung-apung,agreed_extracted_match,vi,vi,True,,missing,False,False
terjangkau,agreed_extracted_match,vi,vi,True,,missing,False,False
terka,disagree_extract,,v,False,,missing,False,False
terlatih,agreed_extracted_match,vi,vi,True,,missing,False,False
ternoda,disagree_content,vt,vt,True,,missing,False,False
tukang,agreed_extracted_match,n,n,True,,missing,False,False
tumbuk,agreed_extracted_match,n,n,True,vt,kata,False,False
warisan,agreed_extracted_match,a,a,True,,missing,False,False
waswas,disagree_content,a,a,True,,missing,False,False
zone,agreed_extracted_match,n,n,True,,missing,False,False
