dict_id,source_lemma,main_lemma,kalimat_asal,kalimat_tujuan,pos
19,menghukum,hukum,pemerintah akan menghukum orang yg bersalah,pemerentah akan ngukom orang yg besalah,vt
19,mengisap,isap,dia mengisap biji mangga,die ngolom bijik mangge,vt
19,mengukuhkan,kukuh,kegunaan tiang adalah untuk mengukuhkan bangunan,kegunean tiang adelah untok mempekuat bangonan,vt
19,menimbulkan,timbul,pekerjaanmu akan menimbulkan bencana,pekerjeanmu akan berakibat bencane,vt
19,menjunjung,junjung,ibu sedang menjunjung air,mak lagi nyunjong ae,vt
19,menjurus,jurus,jalan ini menjurus ke pantai,jalan ini nuju ke pantai,vt
19,menyerempet,serempet,mobil itu menyerempet sepeda,kerete itu menggesel sepeda,vt
19,mode,mode,mengikuti mode berpakaian,mengikot gaye bepakaian,n
19,motivasi,motivasi,beliau yg memberikan motivasi agar aku tetap sekolah,beliau yg merikan sokongan agar aku tetap sekolah,n
19,panjar,panjar,"sbg tanda jadi, kami membayar panjar separuh","sbg tande jadi, kami maya cengkeram separoh",n
19,penghematan,hemat,pemerintah menganjurkan penghematan dl memakai listrik,pemerentah nganjokan cermat dl makai listrik,a|n
19,pergi,pergi,bapak sedang pergi,bapak sedang kelua,v
19,perlawanan,lawan,perlawanan tadi kurang seru,petandengan tadi kurang seru,n
19,posisi,posisi,posisi daerah Riau,letak daerah Riau,n
19,representatif,representatif,data itu kurang representatif,data itu kurang pas,a
19,rimbun,rimbun,pohon itu berdaun rimbun,pokok itu bedaon lebat,a
19,sakit,sakit,kakiku terasa sakit terinjak paku,kakiku terase bise terinjak paku,a
19,semena-mena,semena-mena,tindakannye semena-mena,tindakannye sebarangan,adv
19,singgah,singgah,singgah dulu ke rumah kami,mampe dulu ke rumah kami,v
19,sisi,sisi,sisi kiri,sampeng kiri,n
19,stagnasi,stagnasi,stagnasi lalu lintas,kemacetan lalu lintas,n
19,tambah,tambah,"tambah, bu', kata anaknya","lagi, mak', kate anaknye",n
19,tampil,tampil,para pemenang dipersilakan tampil,pare pemenang dipesilakan ke depan,v
19,target,target,melampaui target,melampaui pekirean,n
19,tenda,tenda,Suku Mantang memasang tenda di sampannya,Suku Mantang masang kajang di sampannye,n
19,tender,tender,kami diberi tender oleh pimpinan perusahaan itu,kami diberi borongan kerje oleh pimpenan perusahean itu,n
19,terapung-apung,apung,kapal yg rusak itu terapung-apung di lautan,kapal yg rosak itu terapong-rapong dekat laot,vi
19,terjangkau,jangkau,apakah cita-citamu itu akan terjangkau,apekah cite-cite dikau itu akan tecapai,vi
19,terlatih,latih,dia telah terlatih dg hal-hal seperti itu,die lah tebiase dg hal-hal seperti itu,vi
19,tukang,tukang,"kalau mencari pemangkas rambut, di sini ada tukangnya","kalau mencarik pemangkas rambot, di sini ade ahlinye",n
19,tumbuk,tumbuk,kena tumbuk,kene tinju,n
19,warisan,waris,mendapat warisan,mendapat pusake,a
19,zone,zone,zone penerbangan,kawasan penerbangan,n
