source_lemma,iaa_outcome,c_has_pair,c_kalimat_asal,c_kalimat_tujuan,best_a_kalimat_asal,best_a_kalimat_tujuan,match_strict,match_normalized,match_fuzzy,best_asal_fuzzy_score,best_tuj_fuzzy_score,concatenation_candidate,outcome
manempean,agreed_extracted_match,True,manempean karateh ka dindiang,menempelkan kertas ke dinding,karateh ka dindiang,menempel. kan kertas ke dinding,False,False,False,0.654,0.793,False,FN
mangikua,agreed_extracted_match,True,mangikua kalapo,mengikur kelapa,pengikuik,n pengikut,False,False,False,0.176,0.235,False,FN
manjo,agreed_extracted_match,True,anak manjo,anak manja,anak mamak,memperistri anak mamak,False,False,False,0.455,0.217,True,FN
manuduangi,agreed_extracted_match,True,anak tu manuduangi amaknyo jo payuang,anak itu menudungi ibunya dengan payung,muko- nyo Jo payuang,mukanya di- lindungi dengan payung,False,False,False,0.308,0.367,False,FN
marusuahan,agreed_extracted_match,True,ibu marusuahan adiak nan sakik,ibu merusuhkan adik yang sakit,ibu adiak sakik,ibu merusuh- kan adik yang sakit,False,False,False,0.379,0.812,False,FN
muekan,agreed_extracted_match,True,muekan panuah-panuah,muatkan penuh-penuh,panuah-pa- nuah,muatkan penuh-penuh,False,False,False,0.389,1.0,False,FN
muluik,agreed_extracted_match,True,mancuci muluik,mencuci mulut,mancuci muluik,mencu- ci mulut,False,False,False,1.0,0.6,False,FN
muncua,agreed_extracted_match,True,muncua ikan gadang,muncul ikan besar,mamuncuaan,v memunculkan,False,False,False,0.2,0.238,False,FN
pabukoan,agreed_extracted_match,True,amak mambuek pabukoan,ibu membuat perbukaan,amak mambali ense,ibu membeli engsel,False,False,False,0.259,0.207,False,FN
pacuan,agreed_extracted_match,True,pacuan kudo,tempat pacuan kuda,lari kudo tu,lan kuda itu kencang,False,False,False,0.188,0.172,False,FN
panyolang,agreed_extracted_match,True,inyo panyolang kecek urang gadang,dia suka membantah pembicaraan orang dewasa,inyo kecek urang gadang dia,suka membantah pem- bicaraan orang dewasa,False,False,False,0.613,0.795,False,FN
parah,agreed_extracted_match,True,parah santan tu,peras santan itu,parah santan tu,peras santan itu,True,True,True,1.0,1.0,False,TP
pasoalan,agreed_extracted_match,True,apo pasoalannyo,apa persoalannya,"apo '-nyo,","apa persoalannya; panyoal a suka menyoal sobaik nsahahat, teman",False,False,False,0.176,0.255,True,FN
pindah,agreed_extracted_match,True,pindah carito ka nan lain,pindahkan cerita kepada yang lain,andc oleh Wan ka banq pindahkan,oleh tuan kepada yang benar 2di p,False,False,False,0.156,0.24,False,FN
sabalah,agreed_extracted_match,True,mato ambo sabalah kida ko bangkak,mata saya sebelah kiri ini bengkak,mato ambo sabaiah kida ko bangkak,mata saya sebe- lah kin ini bengkak,False,False,False,0.824,0.658,False,FN
sabuang,agreed_extracted_match,True,inyo tukang sabuang ayam,dia adalah tukang sabung ayam,kapuang sabalah situ,kepung sebelah sana,False,False,False,0.188,0.162,False,FN
samantangpun,agreed_extracted_match,True,samantangpun inyo kayo awak indak mamintak ka inyo doh,"sekalipun dia kaya, kita tidak akan meminta kepadanya",inyo kayo awak indak mamintak ka inyo doh sekalipun dla kaya,kita tidak akan meminta kepa- danya,False,False,False,0.579,0.528,False,FN
sanjo,agreed_extracted_match,True,ari alah sanjo,hari sudah senja,ari alah sanjo,hari sudah senja,True,True,True,1.0,1.0,False,TP
saudagar,agreed_extracted_match,True,saudagar kayo,saudagar kaya,aka kayu,menggapai akar kayu,False,False,False,0.133,0.167,False,FN
siosio,agreed_extracted_match,True,siosio manuruiknyo,sia-sia menurutnya,siosio manuruiknyo,sia-sia menurUtnya,False,True,True,1.0,1.0,False,TP
sobokan,agreed_extracted_match,True,sobokan lah bareh tu,campurkanlah beras itu,tanak bareh tu,masak beras itu,False,False,False,0.304,0.32,False,FN
som,agreed_extracted_match,True,som kain tu indak elok,som kain itu tidak baik,"som kain tu indak elok,","som kain itu tidak baik; soman v somkan; somiv somi; basom v bersom: kain tu indak ', kain itu tidak bersom",False,False,False,1.0,0.333,True,FN
taabihan,agreed_extracted_match,True,taabihan kue sabanyakko dek ang,terhabiskan kue sebanyak itu olehmu,kue sabanyakko dek ang terhabiskan,kue sebanyak itu olehmu; taablh-ablhan v,False,False,False,0.525,0.468,False,FN
tabinasoan,agreed_extracted_match,True,lai tabinasoan kasadonyo,ada terbinasakan semuanya,lai kasadonyo,ada terbinasakan Se- muanya,False,False,False,0.435,0.778,False,FN
takalek,agreed_extracted_match,True,agak takalek rasonyo,agak terpahit rasanya,kopi ko — rasonyo,kopi ml pahit rasanya,False,False,False,0.222,0.407,False,FN
takan,agreed_extracted_match,True,takan tombolnyo,tekan tombolnya,makan sajiur,makan sahur,False,False,False,0.15,0.1,False,FN
talok,agreed_extracted_match,True,indak talok den maangkeknyo,tidak kuat saya mpngangkatnya,indak tajok den maangkeknyo,tidak kuat saya mpngangkatnya,False,False,True,0.786,1.0,False,FN
tarokoki,agreed_extracted_match,True,lai tarokoki deknyo,adakah tererami olehnya,deknyo,teregang olehnya,False,False,False,0.235,0.296,False,FN
tungau,agreed_extracted_match,True,digigik tungau,digigit ulat kecil,langau hijau n,lalat hijau,False,False,False,0.1,0.091,False,FN
ubeki,agreed_extracted_match,True,ubeki batuaknyo,obati batuknya,batuaknyo,obati batuknya,False,False,False,0.538,1.0,False,FN
umanaikan,agreed_extracted_match,True,umanaikan ka anak ang,amanatkan kepada anakmu,ka anak ang,amanatkan kepada anakmu,False,False,False,0.471,1.0,False,FN
umbuakan,agreed_extracted_match,True,umbuakan supayo inyo namuah pai,bujukkan supaya ia mau pergi,supayo inyo namuah pal,bujukkan supa- ya ia mau pergi,False,False,False,0.621,0.8,False,FN
