source_lemma,iaa_outcome,c_has_pair,c_kalimat_asal,c_kalimat_tujuan,best_a_kalimat_asal,best_a_kalimat_tujuan,match_strict,match_normalized,match_fuzzy,best_asal_fuzzy_score,best_tuj_fuzzy_score,concatenation_candidate,outcome
kandas,agreed_extracted_match,True,kapal yg kandas itu telah ditarik,kapal yg sangkot itu lah diterek,'kapal yg sangkot itu lah diterek,kapal yg kandas itu telah ditarik,False,False,False,0.326,0.326,False,FN
karikatur,agreed_extracted_match,True,gambar karikatur itu sangat bagus,gamba katon itu bagos betol,'gamba katon itu bagos betol,gam bar karikatur itu sangat bagus,False,False,False,0.217,0.167,False,FN
karung,agreed_extracted_match,True,belikan beras sekarung,belikan beras sekantong,rb e lik an beras sekantong,belikan beras se—,False,False,False,0.406,0.667,False,FN
kegaduhan,agreed_extracted_match,True,kegaduhan itu semakin gawat,kerusohan itu maken gawat,'kerusohan itu maken gawat,itu semakin gawat,False,False,False,0.333,0.267,False,FN
kekosongan,agreed_extracted_match,True,kekosongan hati,kehampean ati,'ketenangan ati,kedamaian hati,False,False,False,0.19,0.095,False,FN
keluarga,agreed_extracted_match,True,ayah mengajak kami mengunjungi keluarga,bapak ngajak kami bejumpe sanak sedare,ngajak kami bejumpe sanak sedare,ayah mengajak kami mengunjungi 'bapak,False,False,False,0.189,0.245,False,FN
kepiting,agreed_extracted_match,True,kepiting bangkang,ketam bangkang,nyiom bau bangkai,bau ban gkai,False,False,False,0.217,0.167,False,FN
konsespsi,agreed_extracted_match,True,konsespsi nilai Gurindam 12,pengertian nilai Gurindam 12,'lombe pembacean gurindam due belas dilaksanekan esok pagi,lomba pembacaan n pembacean n hal care perbuatan dab gurindam dua be/as dilaksanakan esok pagE,False,False,False,0.129,0.116,True,FN
koran,agreed_extracted_match,True,koran Riau Pos,surat kaba Riau Pos,surat kaba Riau Pos,koran Riau Pos,False,False,False,0.318,0.318,False,FN
lembaga,agreed_extracted_match,True,semalam aku jumpa lembaga,semalam aku jumpe hantu,'semalam aku jumpe hantu,semalam aku jumpa lembaga,False,False,False,0.467,0.467,False,FN
lipstik,agreed_extracted_match,True,lipstik merah muda,gincu merah mude,'gincu merah mude,melipit merah muda,False,False,False,0.364,0.364,False,FN
loak,agreed_extracted_match,True,buang kertas itu dl loak,buang kertas itu dl bakol sampah,'buang kertas itu dl bakol sampah,buang kertas itu dl —,False,False,False,0.529,0.581,False,FN
longgar,agreed_extracted_match,True,baju yg kupakai longgar,baju yg kupakai besa,'baju yg kupakai besa,baju yg kupakai,False,False,False,0.56,0.722,False,FN
mabuk,agreed_extracted_match,True,"karena minum arak, mereka jadi mabuk","karene minom arak, mereke jadi naneng","mabuk, 'karene minom arak, merekejadi naneng","karena minum arak, mere/ca jadi",False,False,False,0.415,0.391,False,FN
makna,agreed_extracted_match,True,kepergianku ke sini membawa makna,kepergianku ke sini mawak maksod,'kepergianku ke sini mawak maksod,kepergianku ke sinE membawa makna,False,False,False,0.579,0.463,False,FN
mayat,agreed_extracted_match,True,mayatnya telah dikuburkan,jenazahnye lah dikubokan,jaiazahnye lab dikubokan,mayat-nya telah dikuburkan,False,False,False,0.125,0.211,False,FN
melawak,agreed_extracted_match,True,mereka melawak di panggung gembira,mereke melucu di panggong gembira,'mereke melucu di panggong gembira,mereka melawak-di panggung gembira,False,False,False,0.465,0.432,False,FN
memabukkan,agreed_extracted_match,True,jauhilah minuman yg memabukkan,jaohilah minoman yg mengakibatkan mabok,jaohi1ah minoman yg mengakibatkan mabok,yg mengakibatkan mabok:jauhilah minuman yg memabukkan,False,False,False,0.255,0.588,False,FN
memaparkan,agreed_extracted_match,True,masing-masing memaparkan pendapatnya,maseng-maseng menjelaskan pendapatnye,'masig-maseng mijeIaskan pidapainye,masing-masing memaparkan pendapatnya,False,False,False,0.224,0.463,False,FN
membalut,agreed_extracted_match,True,ia membalut kakinya yang terluka,ia membarut kakinye yang terluke,'ia membarut kakinye yang terluke,ía membalut kakinya yang terluka,False,False,False,0.622,0.579,False,FN
memimpin,agreed_extracted_match,True,memimpin tangan adiknya,membimbeng tangan adeknye,'berangkolan tangan,berdekapan tangan,False,False,False,0.241,0.226,False,FN
memukul,agreed_extracted_match,True,dia memukul kakiku,die memukol kakiku,'die memukol kakiku,dia memukul kakiku,False,False,False,0.455,0.455,False,FN
mendata,agreed_extracted_match,True,dia mendata kejadian itu,die menyusun date kejadian itu,"'die menyusun date kejadian itu', pendata n pendata; pembukti; menyustm date","dia == kejadian itu,",False,False,False,0.3,0.333,True,FN
mengajak,agreed_extracted_match,True,Amin mengajak temannya mengail,Amin ngajak kawannye pegi ngael,Amin ngajak kawannyepegi,Amin temannya mgai1,False,False,False,0.278,0.128,False,FN
menggotong,agreed_extracted_match,True,kami menggotong kayu,kami mawak kayu,'kami mawak kayu,kami menggotong kayu,False,False,False,0.292,0.292,False,FN
menggugah,agreed_extracted_match,True,nasihatnya menggugah hatiku,nasehat die nyadakan ati aku,'kami akan menjengah ke rumah nenek,kami akan ke rumah nenek,False,False,False,0.1,0.116,False,FN
menghukum,agreed_extracted_match,True,pemerintah akan menghukum orang yg bersalah,pemerentah akan ngukom orang yg besalah,'pemerentah akan ngukom orang yg besalah,pemerintah akan menghukum orang yg bersalah,False,False,False,0.472,0.472,False,FN
mengisap,agreed_extracted_match,True,dia mengisap biji mangga,die ngolom bijik mangge,'die ngolom bijik mangge,dia mengisap vtngisap ngirop nyedot ngolom byi mangga,False,False,False,0.194,0.208,True,FN
mengukuhkan,agreed_extracted_match,True,kegunaan tiang adalah untuk mengukuhkan bangunan,kegunean tiang adelah untok mempekuat bangonan,'pemborong itu sedang mempelajari pola rumah (bangunan) yg akan dibangunnye,polar pemborong itu sedang mempelajari matriks bangunan yg akan dibangunnya,False,False,False,0.126,0.135,False,FN
menimbulkan,agreed_extracted_match,True,pekerjaanmu akan menimbulkan bencana,pekerjeanmu akan berakibat bencane,'au akan malekkan semue yg dikau ben,aku akan — semuapemberianmu,False,False,False,0.148,0.167,False,FN
menjunjung,agreed_extracted_match,True,ibu sedang menjunjung air,mak lagi nyunjong ae,'ayah sedang tido,ayah lagi tidur,False,False,False,0.214,0.148,False,FN
menjurus,agreed_extracted_match,True,jalan ini menjurus ke pantai,jalan ini nuju ke pantai,'neluso pantai,menjelajahi pantai,False,False,False,0.156,0.152,False,FN
menyerempet,agreed_extracted_match,True,mobil itu menyerempet sepeda,kerete itu menggesel sepeda,'kerete itu menggesel seda,mobil itu menyerempet sepeda,False,False,False,0.225,0.308,False,FN
meresapi,agreed_empty_other,False,,,,,False,False,False,0.0,0.0,False,TN
mode,agreed_extracted_match,True,mengikuti mode berpakaian,mengikot gaye bepakaian,mewangikan pakaian,mengharumkan pakaian,False,False,False,0.219,0.219,False,FN
motivasi,agreed_extracted_match,True,beliau yg memberikan motivasi agar aku tetap sekolah,beliau yg merikan sokongan agar aku tetap sekolah,'beliau yg merikan sokongan agar aku tetap sekolah,beliau yg memberikan — agar aku tetap sekolah,False,False,False,0.6,0.679,False,FN
panjar,agreed_extracted_match,True,"sbg tanda jadi, kami membayar panjar separuh","sbg tande jadi, kami maya cengkeram separoh","'sbg tande jadi, kami maya caigkeram saroh","sbg tanda jadi, kami membayar niemanjang separuh,",False,False,False,0.29,0.338,False,FN
penghematan,agreed_extracted_match,True,pemerintah menganjurkan penghematan dl memakai listrik,pemerentah nganjokan cermat dl makai listrik,'pemereitah nganjokan cermat dl makai listrik,tak boros; pemermntah menganjurkan penghematan dl memakai listrik,False,False,False,0.385,0.37,False,FN
pengintaian,agreed_no_pair,False,,,,,False,False,False,0.0,0.0,False,TN
pergi,agreed_extracted_match,True,bapak sedang pergi,bapak sedang kelua,'mak sedang ngaram ikan,ibu sedang ikan,False,False,False,0.286,0.261,False,FN
perlawanan,agreed_extracted_match,True,perlawanan tadi kurang seru,petandengan tadi kurang seru,'layanan yg kurang baek,sambutan yg kurang baik,False,False,False,0.25,0.205,False,FN
posisi,agreed_extracted_match,True,posisi daerah Riau,letak daerah Riau,'letak daerah Riau,posisi daerah Riau,False,False,False,0.476,0.476,False,FN
representatif,agreed_extracted_match,True,data itu kurang representatif,data itu kurang pas,'data itu kurang pas,data kurang representatif,False,False,False,0.467,0.29,False,FN
rimbun,agreed_extracted_match,True,pohon itu berdaun rimbun,pokok itu bedaon lebat,jarn itu bedereng,jam itu berdering,False,False,False,0.194,0.167,False,FN
sakit,agreed_extracted_match,True,kakiku terasa sakit terinjak paku,kakiku terase bise terinjak paku,'kakiku terase bise terinjak paku,kakiku terasa sakit terinjak paku,False,False,False,0.571,0.571,False,FN
semena-mena,agreed_extracted_match,True,tindakannye semena-mena,tindakannye sebarangan,'tindakannye sebarangan,tindakannye semena-mena,False,False,False,0.444,0.444,False,FN
singgah,agreed_extracted_match,True,singgah dulu ke rumah kami,mampe dulu ke rumah kami,'mampe dulu ke rumah kami,singgah dulu ke rumah kami,False,False,False,0.607,0.607,False,FN
sisi,agreed_extracted_match,True,sisi kiri,sampeng kiri,"sisi Sungai Siak, 'tepi Sungai Siak","sisi kin, 'sampeng kid; tepi:",False,False,False,0.12,0.296,True,FN
stagnasi,agreed_extracted_match,True,stagnasi lalu lintas,kemacetan lalu lintas,'tande-tande lalu lintas,rambu la/u lintas,False,False,False,0.385,0.269,False,FN
tambah,agreed_extracted_match,True,"tambah, bu', kata anaknya","lagi, mak', kate anaknye","'lagi, mak', kate anaknye, tande tambah","tambah, bu', kata anaknya,",False,False,False,0.289,0.25,False,FN
tampil,agreed_extracted_match,True,para pemenang dipersilakan tampil,pare pemenang dipesilakan ke depan,'pare pemenang dipesilakan ke depan,para pemenang dipersilakan tampil,False,False,False,0.432,0.432,False,FN
target,agreed_extracted_match,True,melampaui target,melampaui pekirean,'melampaui pekirean,melampaui target,False,False,False,0.364,0.364,False,FN
tenda,agreed_extracted_match,True,Suku Mantang memasang tenda di sampannya,Suku Mantang masang kajang di sampannye,'Suku Mantang masang kajang di sampannye,Suku Mantang memasang tenda di sampannya,False,False,False,0.581,0.581,False,FN
tender,agreed_extracted_match,True,kami diberi tender oleh pimpinan perusahaan itu,kami diberi borongan kerje oleh pimpenan perusahean itu,'kami thbthborongankeijeolthpimpaianperusahean itu,kami diberi tender oleh pimpinan pensahaan itu,False,False,False,0.2,0.403,False,FN
terapung-apung,agreed_extracted_match,True,kapal yg rusak itu terapung-apung di lautan,kapal yg rosak itu terapong-rapong dekat laot,'kapal terbang itu punye anak buah,kapal terbang itu berawak,False,False,False,0.211,0.216,False,FN
terjangkau,agreed_extracted_match,True,apakah cita-citamu itu akan terjangkau,apekah cite-cite dikau itu akan tecapai,'ipckah cite-cite dikau itu akan tecapai,apakah cita-citamu itu akan terjangkau,False,False,False,0.388,0.388,False,FN
terlatih,agreed_extracted_match,True,dia telah terlatih dg hal-hal seperti itu,die lah tebiase dg hal-hal seperti itu,'die lab tebiase dg hal-hal seperti itu,dia telah terlatih dg hal-hal seperti itu,False,False,False,0.412,0.5,False,FN
tukang,agreed_extracted_match,True,"kalau mencari pemangkas rambut, di sini ada tukangnya","kalau mencarik pemangkas rambot, di sini ade ahlinye","'kalau micarik pemangkas rambot, di sini ade ahlinye","kalau mencari pemangkas rambut, di sini ada --nya,",False,False,False,0.456,0.565,False,FN
tumbuk,agreed_extracted_match,True,kena tumbuk,kene tinju,'mengepal buku tumbok,mengepal tinju,False,False,False,0.174,0.25,False,FN
warisan,agreed_extracted_match,True,mendapat warisan,mendapat pusake,'mendapat loteri,mendapat udian,False,False,False,0.35,0.389,False,FN
zone,agreed_extracted_match,True,zone penerbangan,kawasan penerbangan,'perusahean penerbangan,maskapai penerbangan,False,False,False,0.417,0.4,False,FN
