source_lemma,iaa_outcome,c_has_pair,c_kalimat_asal,c_kalimat_tujuan,best_a_kalimat_asal,best_a_kalimat_tujuan,match_strict,match_normalized,match_fuzzy,best_asal_fuzzy_score,best_tuj_fuzzy_score,concatenation_candidate,outcome
demonstrasi,agreed_extracted_match,True,demonstrasi di pinggir jalan,demonstghasi di tepi jalan,'demonstghasi di tepi jalan,demonstrasi idémonstrasil di pinggir jalan,False,False,False,0.389,0.295,False,FN
desak,agreed_no_pair,False,,,,,False,False,False,0.0,0.0,False,TN
dilema,agreed_extracted_match,True,dia menghadapi dilema yg sangat sulit,dio ngadapi dilema yg paya nian,"'dio ngadapi dilema yg paya nian' di.na .mis a dinamis: pemerintah berusaha dilema dl pembangunan, 'pemeghinta baghusaha dinamis dl pembangunan","dia menghadapi dilema yg sangat sulit,",False,False,False,0.137,0.306,True,FN
dominan,agreed_extracted_match,True,x lebih dominan dr pd y,x lebih dominan daghi pado y,'x lebih dominan daghi pado y,x lebih dominan a dominan drpd y,False,False,False,0.469,0.441,False,FN
duka,agreed_extracted_match,True,kawan dl suka dan duka,kawan dl suko dan duko,'kawan dl suko dan duko,kawan dl suka dan duka,False,False,False,0.7,0.7,False,FN
dwitunggal,agreed_extracted_match,True,dwitunggal Sukarno-Hatta,duo tunggal Sukarno-Hatta,duo tunggal Sukarno-Hatta,dwitunggal Sukarno-Hatta,False,False,False,0.731,0.731,False,FN
edar,agreed_extracted_match,True,itu merupakan garis edar bumi,itu maghupokan gaghis edagh bumi,'itu maghupokan gaghis edagh bumi,itu merupakan garis edar war edagh bumi,False,False,False,0.341,0.409,False,FN
eja,agreed_extracted_match,True,"sebelum membacanya, huruf-huruf itu kau eja dulu",sabelum mbaconyo hughuf-hughuf itu kau ejo dulu,'sabelum mbaconyo hughuf-hughuf itu kau ejo dulu,"sebelum membacanya, huruf-huruf itu kau eja dulu,",False,False,False,0.424,0.424,False,FN
entah,agreed_extracted_match,True,"entah apa yg dibawanya tadi, saya tidak melihatnya","tah apo yg dibawanyo tadi, sayo dak meliatnyo","'tab apo yg dibawanyo tadi, sayo dak meliatnyo","entah apa yg dibawanya tadi, saya tidak melihatnya,",False,False,False,0.458,0.536,False,FN
eram,agreed_extracted_match,True,eram kan saja telur bebek ini dgn listrik,eghamkan be telogh itik ko dgn listghik,'eghamkan be telogh itik ko dgn listghik,exam kan saja telur bebek mi dgn listrik,False,False,False,0.188,0.19,False,FN
fundamental,agreed_extracted_match,True,iman merupakan suatu hal yg sangat fundamental di dl kehidupan manusia,imam ngupokan hal yg fundamental nian dl kidupan manusio,'imam ngupokan hal yg fundamental nian dl kidupan manusio,iman merupakan suatu hal yg sangat fundamental di dl kehidupan manusia,False,False,False,0.395,0.395,False,FN
gergaji,agreed_extracted_match,True,spt gergaji dua mata,macam ngogaji dua mato,'macam ngogaji dua mato,spt gerga ji dua mata,False,False,False,0.357,0.258,False,FN
gigil,agreed_no_pair,False,,,,,False,False,False,0.0,0.0,False,TN
goresan,agreed_extracted_match,True,hasil goresannya cukup bagus,hasil goghesannyo cukup elok,'hasil goghesannyo cukup elok,hasil —nya cukup bagus,False,False,False,0.405,0.243,False,FN
guna,agreed_extracted_match,True,guna kepentingan umum,guno kepentingan umum,'guno kepentingan umum,guna kepentingan umum,False,False,False,0.727,0.727,False,FN
gunjing,agreed_extracted_match,True,jangan suka gunjing orang,jangan suko pitnah oghang,'jangan suko mbengkang,jangan suka membangkang,False,False,False,0.25,0.242,False,FN
hafal,agreed_extracted_match,True,anak berumur tiga tahun itu hafal nama-nama kepala negara,budak baghumugh (bausio) tigo taun tu dapat ngingat (nyebut) namo-namo kepalo negagho,'budak baghumugh (bausio) tigo taun tu dapat ngingat (nyebut) namo-namo kepalo negagho,anak berumur tiga tahun itu hafal nama-nama kepala negara,False,False,False,0.158,0.158,False,FN
halal,agreed_extracted_match,True,perbuatan halal akan direstui Tuhan,kaghejo yg halal akan disukoi Tuhan,'kaghejo yg halal akan disukoi Tuhan,perbuatan halal akan direstui Tuhan,False,False,False,0.354,0.354,False,FN
hari,agreed_extracted_match,True,kita selalu bekerja setiap hari,kito slalu begawe saban ari,'ghogaji selalu bagaghigi,gergaji selalu bergerigi,False,False,False,0.167,0.125,False,FN
hinggap,agreed_extracted_match,True,kumbang hinggap di bunga,kumbang inggap di kembang,'kumbang inggap di kembang,kumbang hinggap inggap tinggih di bunga,False,False,False,0.5,0.389,False,FN
ijuk,agreed_extracted_match,True,ijuk sapu itu lembut,ijuk sapu tu lembut,'ado yg ngughbankan lembu,ada yg mengurbankan lembu,False,False,False,0.111,0.111,False,FN
ilegal,agreed_extracted_match,True,orang asing itu masuk ke Indonesia secara ilegal,oghang asing tu masuk ka Indonesia sacagho dak ghesmi,'oghang asing tu masuk ka Indonesia sacagho dak ghesmi,orang asing itu masukke Indonesia secara ilegal iilégali,False,False,False,0.377,0.308,False,FN
ilustrator,agreed_extracted_match,True,dia pernah menjadi ilustrator buku-buku terbitan Balai Pustaka,dio peghna jadi ilustghatogh buku-buku teghbitan Balai Pustaka,'dio peghna jadi ilustghatogh buku-buku teghbitan Balai Pustaka,dia pernah menjadi ilustrator buku-buku terbitan Balai Pustaka,False,False,False,0.449,0.449,False,FN
incaran,agreed_extracted_match,True,harimau itu sedang mencari incarannya,ghimau tu lagi nyaghi incaghannyo,'ghimau tu lagi nyaghi incaghannyo,harimau itu sedang mencari incaran nya,False,False,False,0.22,0.192,False,FN
indikasi,agreed_extracted_match,True,dgn siap siaganya pasukan ABRI di perempatan jalan merupakan indikasi adanya kerawanan,dgn basiap-siapnyo pasukan ABRI di paghempat-an jalan ghupokan patunjuk ado kaghawanan,'dgn basiap-siapnyo pasukan di paghempat-an jalan ghupokan patunjuk ado kaghawanan,dgn siap siaganya pasukan di perempatan jalan merupakan indikasi adanya kerawanan,False,False,False,0.241,0.241,False,FN
infeksi,agreed_extracted_match,True,luka yg tidak dibersihkan dapat menyebabkan infeksi,luko yg dak dibeghsikan dapat nyebabkan infeksi,' luko yg dak dibeghsikan dapat nyebabkan infeksi,luka yg tidak dibersihkan dapat menyebabkan,False,False,False,0.508,0.39,False,FN
jalur,agreed_extracted_match,True,pohon pisang itu ditanam berjalur,batang pisang tu ditanam bajaLugh,'batang pisang tu ditanam bajaLugh,pohon pisang itu ditanam ber-jalur,False,False,False,0.439,0.429,False,FN
jatuh,agreed_extracted_match,True,adik jatuh dr pohon,adik jatu daghi batang,"'adik jatu daghi batang' ja.uh a jau: rumahnya jatuh dr sekolah, 'ghumahnyo jau daghi skola","adik jatuh drpo/zon,",False,False,False,0.167,0.233,True,FN
jenis,agreed_extracted_match,True,lembu dan kerbau jenis binatang menyusui,sapi dan keghbo jenis binatang nyusui,'sapi dan keghbo jenis binatang nyusui,lembu dan kerbau jenis njenis binatang menyusui,False,False,False,0.46,0.434,False,FN
jodoh,agreed_extracted_match,True,ia telah bertemu dgn jodohnya,dio la batamu dgn jodohnya,'dio la batamu dgn jodohnya,ia telah bertemu dgn —nya,False,False,False,0.342,0.146,False,FN
kanker,agreed_extracted_match,True,penyakit kanker otak,pnyakit kankegh otak,'pnyakit kankegh otak,penyakit kanker otak,False,False,False,0.565,0.565,False,FN
kapak,agreed_extracted_match,True,ayah membelah kayu dgn kapak,ayah mbela kayu pake kapak,'ayah mbela kayu pake kapak,ayah membelah kayu dgn kapak,False,False,False,0.438,0.438,False,FN
kapten,agreed_extracted_match,True,kapten kesebelasan Indonesia mengajukan protes kpd wasit,kapten kasablasan Indonesia ngajukan pghotes ka wasit,'Indonesia kayo akan kosa kato,Indonesia kaya akan kosakata,False,False,False,0.164,0.197,False,FN
kaus,agreed_extracted_match,True,baju kaus buatan Singapura itu sangat bagus sekali,baju kaos buatan Singapugh tu elok nian,'baju kaos buatan Singapugh tu elok nian,baju kaus buatan Singapura itu sangat bagus sekali,False,False,False,0.317,0.317,False,FN
kearsipan,agreed_extracted_match,True,dokumentasi yg lengkap tergantung pd kearsipan yg baik,dokumentasi yg lengkap teghgantung pado keaghsipan yg baik,"'panitia dilengkapi dgn seksi pameghan, publikasi dan dokumentasi","panitia dilengkapi dgn seksi pameran, publikasi dan dokumentasi,",False,False,False,0.185,0.191,False,FN
kedudukan,agreed_extracted_match,True,gerhana matahari terjadi pd waktu kedudukan bulan tepat di antara bumi dan matahari,gaghhano matohaghi tajadi pado waktu kaduduk-an bulan tepat di antagho bumi dan matohaghi,"waktu kaduduk-an bulan tepat di antagho bumi dan matohaghi' du.el IduélI v tinju: kedudukan antarpemuda, 'tinju antaghpemudo","gerhana matahari terjadi pd waktu kedudukan bulan tepat di antara bumi dan matahari, 'gaghhano matohaghi tajadi pado",False,False,False,0.331,0.581,False,FN
keemasan,agreed_extracted_match,True,"tangkai bunga itu hijau, sedangkan bunganya kuning keemasan","tangke kembang itu ijo, sedangkan kembangnyo kuning kaemasan","'tangke kembang itu ijo, sedangkan kembangnyo kuning kaemasan","rangkai bunga itu hijau, sedangkan bunganya kuning keemasan,",False,False,False,0.361,0.342,False,FN
kekompakan,agreed_extracted_match,True,kekompakan anak itu patut dicontoh,kekompaan budak itu patut diconto,'kekompaan budak itu patut diconto,kekompakan anak itu patut dicontoh,False,False,False,0.615,0.615,False,FN
kemih,agreed_extracted_match,True,di saluran kemihnya terdapat batu ginjal,di salughan aek kencingnyo tadapat batu ginjal,"'di salughan aek kencingnyo tadapat batu ginjal' ke.mi.ri n kemighi: kemih jatuk ke pan gkalnya, 'kemighi cainpak ka pangkalnyo","di saluran --nya terdapat batu ginjal,",False,False,False,0.239,0.362,True,FN
ketat,agreed_extracted_match,True,pengawasan di waktu EBTA sangat ketat sekali,pangawasan di waktu EBTA ketat nian,sangat ketat a ketat sekali,pengawasan di waktu,False,False,False,0.381,0.429,False,FN
koalisi,agreed_extracted_match,True,kabinet koalisi itu didukung partai yg besar,kabinet koalisi tu didukung paghte yg besak,'kabinet koalisi tu didukung paghte yg besak,kabinet koalisi itu didukung partai yg besar,False,False,False,0.627,0.627,False,FN
kompak,agreed_extracted_match,True,kedua anak itu selalu kompak,keduo budak tu slalu sakato,'keduo budak tu slalu sakato,kedua anak itu selalu kompak,False,False,False,0.19,0.19,False,FN
kongres,agreed_extracted_match,True,kongres negara-negara berkembang sudah dimulai,kongghes negagha-negagha beghkembang la mula-i','kongghes negagha-negagha beghkembang la mula-i,kongres ikongrés negara-negara berkembang sudah dimulai,False,False,False,0.317,0.288,False,FN
konsisten,agreed_extracted_match,True,perbuatan hendak konsisten dgn perkataan,peghbuat-an nyala konsisten dgn ucap-an,'peghbuat-an nyala konsisten dgn ucap-an,perbuatan hendak konsisten dgnperkataan,False,False,False,0.286,0.268,False,FN
korps,agreed_extracted_match,True,korps polisi militer,kumpulan polisi militegh,'kumpulan polisi militegh,korps polisi militer,False,False,False,0.429,0.429,False,FN
kumal,agreed_extracted_match,True,pakaian saya sudah kumal krn tidak digosok,pakean sayo la kaghomot-an kaghno ndak digosok,'pakean sayo la kaghomot-an kaghno ndak digosok,pakaian saya sudah kumal km tidak digosok,False,False,False,0.212,0.215,False,FN
kupasan,agreed_extracted_match,True,kupasannya sangat rapi,koce'annyo sangat elok,'koce'annyo sangat elok,nya sangat rapi,False,False,False,0.258,0.222,False,FN
kurikuler,agreed_extracted_match,True,siswa disuruh membuat tugas kurikuler,mughid disughu mbuat tugas kughikulegh,'mughid disughu mbuat tugas kughikulegh,siswa disuruh membuat tugas kurikuler,False,False,False,0.36,0.36,False,FN
kurva,agreed_extracted_match,True,sudut kurva itu membentuk parabola,sudut kughva tu mbentuk paghabola,'sudut kughva tu mbentuk paghabola,sudut kurva itu membentuk parabola,False,False,False,0.465,0.465,False,FN
membadik,agreed_extracted_match,True,krn sakit hati dia membadik kawannya,kaghno sakit ati dio nikam kawannyo,'kaghno sakit ati dio nikam kawannyo,krn sakit hati dia membadik kawannya,False,False,False,0.288,0.288,False,FN
membubarkan,agreed_extracted_match,True,komandan upacara membubarkan barisan,komandan upacagha mubaghkan baghisan,'komandan upacagha mubaghkan baghisan,komandan upacara membubarkan barisan,False,False,False,0.442,0.442,False,FN
memperdagangkan,agreed_extracted_match,True,orang itu memperdagangkan barang-barang antik,oghang tu nagangkan baghang-baghang antik,'oghang tu nagangkan baghang-baghang antik,orang itu memperdagangkan barang-barang antik,False,False,False,0.422,0.422,False,FN
mencemarkan,agreed_extracted_match,True,asap itu mencemarkan lingkungan,asap tu nyemaghkan lingkungan,'kebeghsian lingkungan penting,kebersihan lingkungan penting,False,False,False,0.256,0.268,False,FN
mencetak,agreed_extracted_match,True,mencetak kamus,mencetak kamus,'mencetak kamus,mencetak kamus,False,True,True,1.0,1.0,False,TP
menggiling,agreed_extracted_match,True,setiap hari ibu menggiling cabe untuk masak,saban haghi Mak ngiling cabe untuk masak,'saban haghi Mak ngiling cabe untuk masak,setiap hart ibu menggiling cabe untuk masak,False,False,False,0.393,0.393,False,FN
mengizinkan,agreed_extracted_match,True,orang yuanya telah mengizinkannya untuk segera menikah,oghang tuonyo la ngizinkannyo untuk sagegho kawin','oghang tuonyo la ngizinkannyo untuk sagegho kawin,orang yuanya telah mengizinkan nya untuk segera menikaiz,False,False,False,0.224,0.188,False,FN
mengklaim,agreed_extracted_match,True,ada negara lain yg mengklaim kepulauan kita,ado nagagha lain yg mengklaim kapulauan kito,'ado nagagha lain yg mengklaim kapulauan kito,ada negara lain yg mengklaim kepulauan kita,False,False,False,0.5,0.5,False,FN
pengacara,agreed_extracted_match,True,sebelum sidang tersangka boleh mencari pengacara,sebelum sidang teghsangka boleh mencaghi pengacagha,"'sebelum sidang teghsangka boleh mencaghi pengacagha' a.cu v acu; conto mengacu v ngacu: ia membentak sambil pengacara hendak menikam, 'dio mbentak sambil ngacu ndak nikam'; acuan n contoan: buku mi boleh dipakai sgb pengacara, 'buku iko bole dipake sebage contoan' a.cuh a peduli: ia tidak pengacara akan larangan orang tuanya, 'dio dak peduli akan laghangan oghang tuonyo","sebelum sidang tersangka bole/i mencari pengacara,",False,False,False,0.174,0.596,True,FN
penggodokan,agreed_extracted_match,True,setelah penggodokan dl penataran itu selesal diharapkan akan lahir wartawan-wartawan yg bermutu,setelah penggodok-an dl penataghan itu selese dihaghapkan akan lahigh waghtawan-waghtawan yg beghmutu,'oghang tuo itu bijaksana nian dl nyelesekan masalah yg besak,orang tua itu sangat bijaksana dl menyelesaikan rnasalah yg besar,False,False,False,0.155,0.128,False,FN
penggusuran,agreed_extracted_match,True,penggusuran penduduk telah dimulai,penggusughan penduduk la dimula-i,'penggusughan penduduk la dimula-i,penggusuran penduduk telah dimulai,False,False,False,0.488,0.488,False,FN
perguruan,agreed_extracted_match,True,perguruan tinggi negeri,peghgughuan tinggi negeghi,"'peghgughuan tinggi negeghi' gu.ruh n gughuh: harapkan perguruan di langit, 'haghapkan gughuh di langit","perguruan tinggi negeri,",False,False,False,0.253,0.419,True,FN
