source_lemma,iaa_outcome,pos_a1,pos_a2,pos_annotator_agree,morph_pos,morph_source,morph_matches_a1,morph_matches_a2
tagur,disagree_content,v,v,True,,missing,False,False
tahangit,disagree_content,a,a,True,a,form,True,True
tapancar,agreed_extracted_match,v,v,True,v,form,True,True
tapanjang,agreed_extracted_match,a,a,True,,missing,False,False
tapapas,agreed_extracted_match,v,v,True,,missing,False,False
tapatuh,agreed_extracted_match,a,a,True,,missing,False,False
tapijim,agreed_extracted_match,v,v,True,v,form,True,True
tarangsang,agreed_extracted_match,v,v,True,,missing,False,False
tasaru,disagree_content,v,v,True,v,form,True,True
tasuak,agreed_extracted_match,a,a,True,a,form,True,True
tatangkis,agreed_extracted_match,v,v,True,,missing,False,False
taudal,agreed_extracted_match,v,v,True,v,form,True,True
tingkulup,agreed_extracted_match,adv,adv,True,,missing,False,False
uar,agreed_no_pair,n,n,True,v,kata,False,False
urak bulu,agreed_no_pair,ki,ki,True,,missing,False,False
wani,agreed_extracted_match,a,a,True,v,kata,False,False
