source_lemma,iaa_outcome,pos_a1,pos_a2,pos_annotator_agree,morph_pos,morph_source,morph_matches_a1,morph_matches_a2
manempean,agreed_extracted_match,v,v,True,,missing,False,False
mangaruah,disagree_content,v,v,True,,missing,False,False
mangikua,agreed_extracted_match,v,v,True,v,form,True,True
manjo,agreed_extracted_match,a,a,True,,missing,False,False
manuduangi,agreed_extracted_match,v,v,True,,missing,False,False
manyesoan,disagree_extract,v,v,True,v,form,True,True
maraso,disagree_content,v,v,True,v,form,True,True
marusuahan,agreed_extracted_match,v,v,True,v,form,True,True
menagiah,disagree_content,v,v,True,,missing,False,False
muekan,agreed_extracted_match,v,v,True,v,form,True,True
muluik,agreed_extracted_match,n,n,True,,missing,False,False
muncua,agreed_extracted_match,v,v,True,,missing,False,False
pabukoan,agreed_extracted_match,v,v,True,n,form,False,False
pacuan,agreed_extracted_match,v,v,True,,missing,False,False
padama,disagree_content,v,v,True,,missing,False,False
paik,disagree_content,a,a,True,,missing,False,False
pambali,disagree_content,n,n,True,,missing,False,False
panyolang,agreed_extracted_match,a,a,True,a,form,True,True
parah,agreed_extracted_match,v,v,True,,missing,False,False
pasoalan,agreed_extracted_match,n,n,True,n,form,True,True
pindah,agreed_extracted_match,v,v,True,,missing,False,False
sabalah,agreed_extracted_match,adv,adv,True,,missing,False,False
sabuang,agreed_extracted_match,v,v,True,,missing,False,False
sae,disagree_content,adv,adv,True,,missing,False,False
samantangpun,agreed_extracted_match,adv,adv,True,adv,form,True,True
sanang,disagree_extract,a,a,True,,missing,False,False
sanjo,agreed_extracted_match,n,n,True,,missing,False,False
saudagar,agreed_extracted_match,n,n,True,,missing,False,False
siosio,agreed_extracted_match,adv,adv,True,,missing,False,False
sobokan,agreed_extracted_match,v,v,True,v,form,True,True
som,agreed_extracted_match,n,n,True,v,kata,False,False
sumangaik,disagree_content,n,n,True,a,kata,False,False
susun,disagree_extract,v,v,True,,missing,False,False
taabih-abihan,disagree_content,v,v,True,,missing,False,False
taabihan,agreed_extracted_match,v,v,True,,missing,False,False
tabagak,disagree_content,a,a,True,,missing,False,False
tabinasoan,agreed_extracted_match,v,v,True,,missing,False,False
tadaguak,disagree_content,v,v,True,,missing,False,False
tagamang,disagree_content,v,v,True,,missing,False,False
takalek,agreed_extracted_match,a,a,True,a,form,True,True
takan,agreed_extracted_match,v,v,True,,missing,False,False
talok,agreed_extracted_match,a,a,True,,missing,False,False
tarokoki,agreed_extracted_match,v,v,True,,missing,False,False
tatidua,disagree_content,v,v,True,v,form,True,True
tidua,disagree_content,v,v,True,v,kata,True,True
tungau,agreed_extracted_match,n,n,True,,missing,False,False
tunggang,disagree_extract,v,v,True,,missing,False,False
ubeki,agreed_extracted_match,v,v,True,v,form,True,True
umanaikan,agreed_extracted_match,v,v,True,v,form,True,True
umbuakan,agreed_extracted_match,v,v,True,v,form,True,True
