annotation_id,stratum,page,indonesian,regional,example_sentence,pipeline_is_anomali,label,error_side,correction,notes
4_0039,A_high_risk,,kudis,kudis,,,,,,
4_0040,A_high_risk,,jodoh,jodoh,,,,,,
4_0041,A_high_risk,,kutang,kutang,,,,,,
4_0042,A_high_risk,,konsul,konsul,,,,,,
4_0043,A_high_risk,,fondasi,fondasi,,,,,,
4_0044,A_high_risk,,jangka,jangka,,,,,,
4_0045,A_high_risk,,jelata,jelata,,,,,,
4_0046,A_high_risk,,pembalut,pembalut,,,,,,
4_0047,A_high_risk,,dogma,dogma,,,,,,
4_0048,A_high_risk,,eksplosi,eksplosi,,,,,,
4_0049,A_high_risk,,condong,condong,,,,,,
4_0050,A_high_risk,,agamo dan pspb diet idiét,diet,,,,,,
4_0051,A_high_risk,,koalisi,koalisi,,,,,,
4_0052,A_high_risk,,pegangannyo telalu kuat cekatan,gesit,,,,,,
4_0053,A_high_risk,,hetero gen fhéterogén hewan,binatang,,,,,,
4_0054,A_high_risk,,instingtif,instingtif,,,,,,
4_0055,A_high_risk,,emosi iémosi,magha,,,,,,
4_0056,A_high_risk,,gulat,gulat,,,,,,
4_0057,A_high_risk,,eksekutif,eksekutif,,,,,,
4_0058,A_high_risk,,aku,aku,,,,,,
4_0059,A_high_risk,,fantasi,fantasi,,,,,,
4_0060,A_high_risk,,alamat,alamat,,,,,,
4_0061,A_high_risk,,pengakuan,pengakuan,,,,,,
4_0062,A_high_risk,,alkohol,alkohol,,,,,,
4_0063,A_high_risk,,bising,bising,,,,,,
4_0064,A_high_risk,,kontes,kontes,,,,,,
4_0065,A_high_risk,,gundik,gundik,,,,,,
4_0066,A_high_risk,,famiii,sanak,,,,,,
4_0067,A_high_risk,,dendam,dendam,,,,,,
4_0068,A_high_risk,,kawal,kawal,,,,,,
4_0069,A_high_risk,,gelimangan,gelimangan,,,,,,
4_0070,A_high_risk,,ipo jqo tmuiuz -- uvuivz v,[],,,,,,
4_0071,A_high_risk,,fasik,fasik,,,,,,
4_0072,A_high_risk,,kecelakaan,kecelakaan,,,,,,
4_0073,A_high_risk,,egois légoisi,egois,,,,,,
4_0074,A_high_risk,,jemba tan,jeghamba,,,,,,
4_0075,A_high_risk,,pembeli,pembeli,,,,,,
4_0076,A_high_risk,,pagha-u halus,elok,,,,,,
4_0077,A_high_risk,,geli mang,gelimang,,,,,,
4_0078,A_high_risk,,kandas,kandas,,,,,,
4_0079,A_high_risk,,ane mia ianémia,anemia,,,,,,
4_0080,A_high_risk,,konstitusi,konstitusi,,,,,,
4_0081,A_high_risk,,diploma,diploma,,,,,,
4_0082,A_high_risk,,diregulasi idérégulasil,deghegulasi,,,,,,
4_0083,A_high_risk,,kedok,kedok,,,,,,
4_0084,A_high_risk,,dialog,dialog,,,,,,
4_0085,A_high_risk,,keru puk,kaghupuk,,,,,,
4_0086,A_high_risk,,kosong,kosong,,,,,,
4_0087,A_high_risk,,dahan,dahan,,,,,,
4_0088,A_high_risk,,harmo nis,basasuean,,,,,,
4_0089,A_high_risk,,genangan,genangan,,,,,,
4_0090,A_high_risk,,bagi,bagi,,,,,,
4_0091,A_high_risk,,keadilan,keadilan,,,,,,
4_0092,A_high_risk,,elok,elok,,,,,,
4_0093,A_high_risk,,gesek igesék,gesek,,,,,,
4_0094,A_high_risk,,kikis,kikis,,,,,,
4_0095,A_high_risk,,harfi ah,harfia,,,,,,
4_0096,A_high_risk,,ide lidél,pendapat,,,,,,
4_0097,A_high_risk,,aktivis,aktivis,,,,,,
4_0098,A_high_risk,,penggubah,penggubah,,,,,,
4_0099,A_high_risk,,kalangan,kalangan,,,,,,
4_0100,A_high_risk,,argu men arguménl,aghgumen,,,,,,
4_0101,A_high_risk,,ensiklope di énsildopedil,ensikiopedi,,,,,,
4_0102,A_high_risk,,eksplisit,eksplisit,,,,,,
4_0103,A_high_risk,,cu kong,cukong,,,,,,
4_0104,A_high_risk,,babat,babat,,,,,,
4_0105,A_high_risk,,gubahan,gubahan,,,,,,
4_0106,A_high_risk,,keru mun,kaghumun,,,,,,
4_0107,A_high_risk,,gugat,gugat,,,,,,
4_0108,A_high_risk,,demonstrasi idémonstrasil,demonstghasi,,,,,,
4_0109,A_high_risk,,bus,bus,,,,,,
4_0110,A_high_risk,,konsumen,konsumen,,,,,,
4_0111,A_high_risk,,aus,aus,,,,,,
4_0112,A_high_risk,,kulai terkulai,takule,,,,,,
4_0113,A_high_risk,,gelengan,gelengan,,,,,,
4_0114,A_high_risk,,audiensi,audiensi,,,,,,
4_0115,A_high_risk,,kawan,kawan,,,,,,
4_0116,A_high_risk,,informan n infoghman,[],,,,,,
4_0117,A_high_risk,,cacat,cacat,,,,,,
4_0118,A_high_risk,,anyam,anyam,,,,,,
4_0119,A_high_risk,,konsep ikonsépl,konsep,,,,,,
4_0120,A_high_risk,,kepompong,kepompong,,,,,,
4_0121,A_high_risk,,direktris idiréktrisl,dighektghis,,,,,,
4_0122,A_high_risk,,jejak,jejak,,,,,,
4_0123,A_high_risk,,kembang biak,kembang biak,,,,,,
4_0124,A_high_risk,,ancaman,ancaman,,,,,,
4_0125,A_high_risk,,kolom,kolom,,,,,,
4_0126,A_high_risk,,gelung,[],,,,,,
4_0127,A_high_risk,,pembuatan,pembuatan,,,,,,
4_0128,A_high_risk,,janji,janji,,,,,,
4_0129,A_high_risk,,kembung,kembung,,,,,,
4_0130,A_high_risk,,kandang,kandang,,,,,,
4_0131,A_high_risk,,adat,adat,,,,,,
4_0132,A_high_risk,,candi,[],,,,,,
4_0133,A_high_risk,,kebanggaan,kebanggaan,,,,,,
4_0134,A_high_risk,,domestik idoméstik,domestik,,,,,,
4_0135,A_high_risk,,kesat,kesat,,,,,,
4_0136,A_high_risk,,dupa,dupa,,,,,,
4_0137,A_high_risk,,absensi absènsil,ketidakhadighan,,,,,,
4_0138,A_high_risk,,kejam,kejam,,,,,,
4_0139,A_high_risk,,identifikasi n bukti dighi  identik,saghupo,,,,,,
4_0140,A_high_risk,,ketiak n katiak,[],,,,,,
4_0141,A_high_risk,,cembe rut,maghengut,,,,,,
4_0142,A_high_risk,,komposisi,komposisi,,,,,,
4_0143,A_high_risk,,guling,guling,,,,,,
4_0144,A_high_risk,,depot,depot,,,,,,
4_0145,A_high_risk,,cekcok icékcok,babala,,,,,,
4_0146,A_high_risk,,indeks iindéksl,indeks,,,,,,
4_0147,A_high_risk,,dangau,dangau,,,,,,
4_0148,A_high_risk,,kamis,kamis,,,,,,
4_0149,A_high_risk,,pengawetan,pengawetan,,,,,,
4_0150,B_clean_baseline,,kibas,tepis,,,,,,
4_0151,B_clean_baseline,,bajing,tupe,,,,,,
4_0152,B_clean_baseline,,emigran,emigghan,,,,,,
4_0153,B_clean_baseline,,harum,wangi,,,,,,
4_0154,B_clean_baseline,,perildanan,peghikianan,,,,,,
4_0155,B_clean_baseline,,iniportir,impoghtigh,,,,,,
4_0156,B_clean_baseline,,gairah,gaigha,,,,,,
4_0157,B_clean_baseline,,handuk,anduk,,,,,,
4_0158,B_clean_baseline,,bareng,samo,,,,,,
4_0159,B_clean_baseline,,kemudian,kudian,,,,,,
4_0160,B_clean_baseline,,gerbang,geghbang,,,,,,
4_0161,B_clean_baseline,,terbaca,tabaco,,,,,,
4_0162,B_clean_baseline,,konferensi,konfeghensi,,,,,,
4_0163,B_clean_baseline,,ekuator,ekuatogh,,,,,,
4_0164,B_clean_baseline,,dungu,lob,,,,,,
4_0165,B_clean_baseline,,ikhlas,ghelo,,,,,,
4_0166,B_clean_baseline,,embargo,embaghgo,,,,,,
4_0167,B_clean_baseline,,andai,kalu,,,,,,
4_0168,B_clean_baseline,,kejaksaan,kejaksoan,,,,,,
4_0169,B_clean_baseline,,pencarian,pancaghian,,,,,,
4_0170,B_clean_baseline,,bandar,bandagh,,,,,,
4_0171,B_clean_baseline,,banget,nian,,,,,,
4_0172,B_clean_baseline,,bingkai,bingke,,,,,,
4_0173,B_clean_baseline,,beranjak,beghanjak,,,,,,
4_0174,B_clean_baseline,,penggunaan,penggunoan,,,,,,
4_0175,B_clean_baseline,,curang,kewet,,,,,,
4_0176,B_clean_baseline,,keesokan,isok,,,,,,
4_0177,B_clean_baseline,,gunjingan,umpat-an,,,,,,
4_0178,B_clean_baseline,,pencukur,pancukugh,,,,,,
4_0179,B_clean_baseline,,belanga,belango,,,,,,
4_0180,B_clean_baseline,,berkurban,bakughban,,,,,,
4_0181,B_clean_baseline,,kolomalisme,kolonialisme,,,,,,
4_0182,B_clean_baseline,,iba,ibo,,,,,,
4_0183,B_clean_baseline,,kedisiplinan,kadisiplinan,,,,,,
4_0184,B_clean_baseline,,penjaga,penjago,,,,,,
4_0185,B_clean_baseline,,babon,induk ayam,,,,,,
4_0186,B_clean_baseline,,informasi,infoghmasi,,,,,,
4_0187,B_clean_baseline,,jahit,jait,,,,,,
4_0188,B_clean_baseline,,pengkajian,pmikighan,,,,,,
4_0189,B_clean_baseline,,garukan,gaut-an,,,,,,
4_0190,B_clean_baseline,,bumerang,bumeghang,,,,,,
4_0191,B_clean_baseline,,bilang,lengit,,,,,,
4_0192,B_clean_baseline,,kursus,kughsus,,,,,,
4_0193,B_clean_baseline,,ekstremis,ekstghimis,,,,,,
4_0194,B_clean_baseline,,kosakata,kosa kato,,,,,,
4_0195,B_clean_baseline,,gandar,gandagh,,,,,,
4_0196,B_clean_baseline,,jumiah,jumla,,,,,,
4_0197,B_clean_baseline,,ilabi,ilahi,,,,,,
4_0198,B_clean_baseline,,baituliah,kakbah,,,,,,
4_0199,B_clean_baseline,,gerombolan,geghombolan,,,,,,
4_0200,B_clean_baseline,,dadar,dadagh,,,,,,
4_0201,B_clean_baseline,,gambaran,gambaghan,,,,,,
4_0202,B_clean_baseline,,penculik,panculik,,,,,,
4_0203,B_clean_baseline,,kalender,tanggal,,,,,,
4_0204,B_clean_baseline,,angker,angkegh,,,,,,
4_0205,B_clean_baseline,,irama,ighama,,,,,,
4_0206,B_clean_baseline,,kurung,kughung,,,,,,
4_0207,B_clean_baseline,,asuh,asu,,,,,,
4_0208,B_clean_baseline,,dahsyat,hebat,,,,,,
4_0209,B_clean_baseline,,kurban,kughban,,,,,,
4_0210,B_clean_baseline,,boneka,naknak-an,,,,,,
4_0211,B_clean_baseline,,hasrat,kendak,,,,,,
4_0212,B_clean_baseline,,hingga,sampe,,,,,,
4_0213,B_clean_baseline,,lkadar,kodagh,,,,,,
4_0214,B_clean_baseline,,pengerukan,pangeghukan,,,,,,
4_0215,B_clean_baseline,,cwnbuan,cumbuan,,,,,,
4_0216,B_clean_baseline,,cuma-cuma,sio-sio,,,,,,
4_0217,B_clean_baseline,,jerawat,jeghawat,,,,,,
4_0218,B_clean_baseline,,ecijsi,edisi,,,,,,
4_0219,B_clean_baseline,,kontraktor,kontghaktogh,,,,,,
4_0220,B_clean_baseline,,informal,infoghmal,,,,,,
4_0221,B_clean_baseline,,penndustrian,peghindustghian,,,,,,
4_0222,B_clean_baseline,,buah,bua,,,,,,
4_0223,B_clean_baseline,,cekik,cekek,,,,,,
4_0224,B_clean_baseline,,akut,penting,,,,,,
4_0225,B_clean_baseline,,gelisah,gelisa,,,,,,
4_0226,B_clean_baseline,,indah,elok,,,,,,
4_0227,B_clean_baseline,,inipitan,impitan,,,,,,
4_0228,B_clean_baseline,,biflgktsan,bingkisan,,,,,,
4_0229,B_clean_baseline,,kelas,kias,,,,,,
4_0230,C_empty_reg,,gunjuus,[],,,,,,
4_0231,C_empty_reg,,- aluran,[],,,,,,
4_0232,C_empty_reg,,vauupj uvguvj up vaw - vzvsniaq,[],,,,,,
4_0233,C_empty_reg,,penjagoan tanaman tu dilakukan dgn sungguh-sungguh jagat n,[],,,,,,
4_0234,C_empty_reg,,bendungan,[],,,,,,
4_0235,C_empty_reg,,gumam n,[],,,,,,
4_0236,C_empty_reg,,maghatikan,[],,,,,,
4_0237,C_empty_reg,,kabinet n kabinet,[],,,,,,
4_0238,C_empty_reg,,hangat,[],,,,,,
4_0239,C_empty_reg,,berhenti,[],,,,,,
4_0240,C_empty_reg,,membengkokkan vt,[],,,,,,
4_0241,C_empty_reg,,cekaman pegangan,[],,,,,,
4_0242,C_empty_reg,,kacaghdik-an,[],,,,,,
4_0243,C_empty_reg,,ca-bang n cabang,[],,,,,,
4_0244,C_empty_reg,,hidroponi ka,[],,,,,,
4_0245,C_empty_reg,,mengetatkan vt ngetatkan,[],,,,,,
4_0246,D_multiword_reg,,diabe tes idiabétésl,kencing manis,,,,,,
4_0247,D_multiword_reg,,kafetaria,gena bajajan,,,,,,
4_0248,D_multiword_reg,,penghurn,yg nunggui,,,,,,
4_0249,D_multiword_reg,,dwifungsi,duo fungsi,,,,,,
4_0250,D_multiword_reg,,kuali,kuali kecik,,,,,,
4_0251,D_multiword_reg,,horizon,pinggigh langit,,,,,,
4_0252,D_multiword_reg,,hono rer,ngambik upahan,,,,,,
4_0253,D_multiword_reg,,ilustratif,beghsifat ilustghasi,,,,,,
4_0254,D_multiword_reg,,dwiwarna,duo waghno,,,,,,
4_0255,D_multiword_reg,,demikian,macam tu,,,,,,
4_0256,D_multiword_reg,,lalang lintang,alang intang,,,,,,
4_0257,D_multiword_reg,,jengkel,sakit ati,,,,,,
4_0258,D_multiword_reg,,begi tu,macam tu,,,,,,
4_0259,D_multiword_reg,,acapkali,suko nian,,,,,,
4_0260,D_multiword_reg,,bagaimana,macam mano,,,,,,
4_0261,D_multiword_reg,,kekosongan,kakosongan kekuasaan,,,,,,
4_0262,D_multiword_reg,,kostum,pakean saghagam,,,,,,
4_0263,D_multiword_reg,,domisili,tempat tinggal,,,,,,
